Datetime,observed
2024-09-28 04:05:00,2.735
2024-11-18 18:30:00,1.643
2024-11-18 19:20:00,1.524
2024-11-18 19:25:00,1.508
2024-11-19 00:20:00,1.188
2024-11-19 00:25:00,1.188
2024-11-19 05:20:00,1.925
2024-11-19 06:50:00,1.749
2024-11-19 11:30:00,1.381
2024-11-19 12:40:00,1.278
2024-11-19 15:20:00,1.478
2024-11-19 17:50:00,1.719
2024-11-19 20:20:00,1.444
2024-11-19 23:30:00,1.221
2024-11-20 03:55:00,1.667
2024-11-20 08:50:00,1.511
2024-11-20 08:55:00,1.52
2024-11-20 13:50:00,1.18
2024-11-20 13:55:00,1.179
2024-11-20 18:50:00,1.601
2024-11-20 18:55:00,1.59
2024-11-20 21:25:00,1.305
2024-11-21 02:20:00,1.096
2024-11-21 04:50:00,1.601
2024-11-21 04:55:00,1.619
2024-11-21 08:50:00,1.523
2024-11-21 09:05:00,1.48
2024-11-21 09:10:00,1.466
2024-11-21 09:25:00,1.505
2024-11-21 09:30:00,1.433
2024-11-21 09:35:00,1.421
2024-11-21 09:55:00,1.404
2024-11-21 10:10:00,1.395
2024-11-21 10:15:00,1.394
2024-11-21 10:20:00,1.405
2024-11-21 10:25:00,1.385
2024-11-21 10:40:00,1.374
2024-11-21 11:05:00,1.348
2024-11-21 11:10:00,1.352
2024-11-21 11:15:00,1.339
2024-11-21 11:20:00,1.334
2024-11-21 11:30:00,1.332
2024-11-21 11:35:00,1.329
2024-11-21 11:50:00,1.312
2024-11-21 11:55:00,1.297
2024-11-21 12:00:00,1.295
2024-11-21 12:05:00,1.34
2024-11-21 12:10:00,1.298
2024-11-21 12:15:00,1.261
2024-11-21 12:30:00,1.296
2024-11-21 12:45:00,1.268
2024-11-21 12:55:00,1.258
2024-11-21 13:10:00,1.237
2024-11-21 13:15:00,1.222
2024-11-21 13:35:00,1.199
2024-11-21 13:45:00,1.173
2024-11-21 13:50:00,1.164
2024-11-21 13:55:00,1.158
2024-11-21 14:00:00,1.162
2024-11-21 14:20:00,1.132
2024-11-21 14:30:00,1.131
2024-11-21 14:55:00,1.102
2024-11-21 15:10:00,1.099
2024-11-21 15:20:00,1.102
2024-11-21 15:35:00,1.088
2024-11-21 15:40:00,1.088
2024-11-21 16:00:00,1.114
2024-11-21 16:05:00,1.124
2024-11-21 16:10:00,1.135
2024-11-21 16:15:00,1.133
2024-11-21 16:30:00,1.189
2024-11-21 16:40:00,1.201
2024-11-21 16:50:00,1.217
2024-11-21 16:55:00,1.247
2024-11-21 17:00:00,1.246
2024-11-21 17:25:00,1.321
2024-11-21 17:40:00,1.358
2024-11-21 17:45:00,1.383
2024-11-21 17:50:00,1.526
2024-11-21 17:55:00,1.395
2024-11-21 18:00:00,1.419
2024-11-21 18:05:00,1.438
2024-11-21 18:15:00,1.459
2024-11-21 18:20:00,1.456
2024-11-21 18:30:00,1.504
2024-11-21 18:35:00,1.519
2024-11-21 18:45:00,1.517
2024-11-21 19:10:00,1.465
2024-11-21 19:15:00,1.454
2024-11-21 19:25:00,1.495
2024-11-21 19:30:00,1.485
2024-11-21 19:35:00,1.482
2024-11-21 19:50:00,1.431
2024-11-21 19:55:00,1.449
2024-11-21 20:00:00,1.424
2024-11-21 20:10:00,1.347
2024-11-21 20:15:00,1.368
2024-11-21 20:20:00,1.394
2024-11-21 20:25:00,1.387
2024-11-21 20:30:00,1.371
2024-11-21 20:45:00,1.347
2024-11-21 21:10:00,1.33
2024-11-21 21:25:00,1.282
2024-11-21 21:40:00,1.256
2024-11-21 21:50:00,1.241
2024-11-21 21:55:00,1.228
2024-11-21 22:05:00,1.221
2024-11-21 22:10:00,1.21
2024-11-21 22:15:00,1.203
2024-11-21 22:20:00,1.198
2024-11-21 22:30:00,1.186
2024-11-21 22:35:00,1.178
2024-11-21 22:40:00,1.178
2024-11-21 22:45:00,1.236
2024-11-21 22:50:00,1.188
2024-11-21 23:05:00,1.192
2024-11-21 23:10:00,1.168
2024-11-21 23:15:00,1.158
2024-11-21 23:25:00,1.157
2024-11-21 23:30:00,1.166
2024-11-21 23:40:00,1.16
2024-11-21 23:45:00,1.155
2024-11-21 23:50:00,1.164
2024-11-21 23:55:00,1.148
2024-11-22 00:10:00,1.113
2024-11-22 00:20:00,1.123
2024-11-22 00:25:00,1.12
2024-11-22 00:30:00,1.142
2024-11-22 00:35:00,1.121
2024-11-22 00:40:00,1.11
2024-11-22 00:45:00,1.092
2024-11-22 00:50:00,1.097
2024-11-22 01:05:00,1.085
2024-11-22 01:30:00,1.074
2024-11-22 01:35:00,1.073
2024-11-22 01:55:00,1.054
2024-11-22 02:35:00,1.009
2024-11-22 02:45:00,1.006
2024-11-22 02:50:00,1.014
2024-11-22 02:55:00,1.011
2024-11-22 03:05:00,1.003
2024-11-22 03:15:00,1.011
2024-11-22 03:30:00,1.017
2024-11-22 03:35:00,1.025
2024-11-22 03:50:00,1.066
2024-11-22 04:10:00,1.119
2024-11-22 04:25:00,1.205
2024-11-22 04:30:00,1.221
2024-11-22 04:45:00,1.281
2024-11-22 04:50:00,1.303
2024-11-22 04:55:00,1.319
2024-11-22 05:00:00,1.351
2024-11-22 05:10:00,1.389
2024-11-22 05:15:00,1.399
2024-11-22 05:20:00,1.426
2024-11-22 05:35:00,1.466
2024-11-22 05:40:00,1.468
2024-11-22 05:55:00,1.506
2024-11-22 06:00:00,1.522
2024-11-22 06:05:00,1.537
2024-11-22 06:10:00,1.544
2024-11-22 06:15:00,1.549
2024-11-22 06:25:00,1.56
2024-11-22 06:50:00,1.603
2024-11-22 06:55:00,1.603
2024-11-22 07:15:00,1.595
2024-11-22 07:35:00,1.6
2024-11-22 07:45:00,1.589
2024-11-22 07:55:00,1.569
2024-11-22 08:00:00,1.575
2024-11-22 08:15:00,1.557
2024-11-22 08:20:00,1.544
2024-11-22 08:25:00,1.546
2024-11-22 08:35:00,1.55
2024-11-22 08:40:00,1.514
2024-11-22 08:55:00,1.486
2024-11-22 09:00:00,1.47
2024-11-22 09:15:00,1.437
2024-11-22 09:20:00,1.408
2024-11-22 09:25:00,1.406
2024-11-22 09:35:00,1.398
2024-11-22 09:40:00,1.354
2024-11-22 10:05:00,1.33
2024-11-22 10:10:00,1.329
2024-11-22 10:30:00,1.304
2024-11-22 10:45:00,1.278
2024-11-22 10:55:00,1.286
2024-11-22 11:05:00,1.282
2024-11-22 11:10:00,1.281
2024-11-22 11:35:00,1.256
2024-11-22 11:55:00,1.238
2024-11-22 12:00:00,1.237
2024-11-22 12:05:00,1.233
2024-11-22 12:10:00,1.228
2024-11-22 12:25:00,1.223
2024-11-22 12:35:00,1.216
2024-11-22 12:45:00,1.201
2024-11-22 12:55:00,1.184
2024-11-22 13:00:00,1.185
2024-11-22 13:05:00,1.189
2024-11-22 13:10:00,1.187
2024-11-22 13:20:00,1.177
2024-11-22 13:30:00,1.162
2024-11-22 13:35:00,1.165
2024-11-22 13:40:00,1.154
2024-11-22 13:45:00,1.144
2024-11-22 13:55:00,1.132
2024-11-22 14:10:00,1.112
2024-11-22 14:20:00,1.1
2024-11-22 14:35:00,1.086
2024-11-22 14:40:00,1.078
2024-11-22 14:45:00,1.073
2024-11-22 15:00:00,1.054
2024-11-22 15:05:00,1.045
2024-11-22 15:15:00,1.03
2024-11-22 15:25:00,1.021
2024-11-22 15:35:00,1.009
2024-11-22 15:45:00,1.003
2024-11-22 15:50:00,0.996
2024-11-22 16:05:00,0.992
2024-11-22 16:10:00,0.986
2024-11-22 16:30:00,0.982
2024-11-22 16:35:00,0.984
2024-11-22 16:40:00,0.982
2024-11-22 16:50:00,0.987
2024-11-22 16:55:00,0.993
2024-11-22 17:00:00,0.996
2024-11-22 17:10:00,1.015
2024-11-22 17:25:00,1.045
2024-11-22 17:35:00,1.071
2024-11-22 17:40:00,1.087
2024-11-22 17:55:00,1.136
2024-11-22 18:00:00,1.155
2024-11-22 18:05:00,1.168
2024-11-22 18:30:00,1.254
2024-11-22 18:40:00,1.277
2024-11-22 18:45:00,1.297
2024-11-22 19:00:00,1.321
2024-11-22 19:05:00,1.345
2024-11-22 19:10:00,1.344
2024-11-22 19:15:00,1.362
2024-11-22 19:20:00,1.362
2024-11-22 19:25:00,1.385
2024-11-22 19:30:00,1.367
2024-11-22 19:35:00,1.372
2024-11-22 19:40:00,1.372
2024-11-22 19:50:00,1.361
2024-11-22 19:55:00,1.355
2024-11-22 20:00:00,1.401
2024-11-22 20:05:00,1.389
2024-11-22 20:20:00,1.373
2024-11-22 20:30:00,1.39
2024-11-22 20:35:00,1.388
2024-11-22 20:45:00,1.376
2024-11-22 21:05:00,1.358
2024-11-22 21:15:00,1.343
2024-11-22 21:20:00,1.333
2024-11-22 21:25:00,1.321
2024-11-22 21:40:00,1.297
2024-11-22 21:55:00,1.28
2024-11-22 22:00:00,1.267
2024-11-22 22:10:00,1.238
2024-11-22 22:15:00,1.246
2024-11-22 22:20:00,1.223
2024-11-22 22:25:00,1.223
2024-11-22 22:30:00,1.214
2024-11-22 23:00:00,1.168
2024-11-22 23:10:00,1.155
2024-11-22 23:25:00,1.149
2024-11-22 23:40:00,1.136
2024-11-22 23:45:00,1.129
2024-11-22 23:55:00,1.123
2024-11-23 00:00:00,1.128
2024-11-23 00:10:00,1.126
2024-11-23 00:15:00,1.114
2024-11-23 00:20:00,1.111
2024-11-23 00:30:00,1.102
2024-11-23 00:35:00,1.098
2024-11-23 00:40:00,1.095
2024-11-23 00:50:00,1.093
2024-11-23 00:55:00,1.088
2024-11-23 01:05:00,1.102
2024-11-23 01:10:00,1.074
2024-11-23 01:15:00,1.079
2024-11-23 01:20:00,1.07
2024-11-23 01:25:00,1.075
2024-11-23 02:20:00,1.039
2024-11-23 02:25:00,1.005
2024-11-23 02:35:00,1.011
2024-11-23 02:40:00,0.987
2024-11-23 02:55:00,0.985
2024-11-23 03:00:00,0.983
2024-11-23 03:10:00,0.985
2024-11-23 03:15:00,0.979
2024-11-23 03:20:00,0.976
2024-11-23 04:00:00,0.955
2024-11-23 04:10:00,0.963
2024-11-23 04:15:00,0.949
2024-11-23 04:50:00,0.983
2024-11-23 05:20:00,1.056
2024-11-23 05:35:00,1.112
2024-11-23 05:40:00,1.12
2024-11-23 05:45:00,1.136
2024-11-23 05:55:00,1.178
2024-11-23 06:00:00,1.192
2024-11-23 06:10:00,1.23
2024-11-23 06:25:00,1.281
2024-11-23 06:30:00,1.293
2024-11-23 06:50:00,1.349
2024-11-23 07:20:00,1.411
2024-11-23 07:25:00,1.411
2024-11-23 07:35:00,1.433
2024-11-23 07:40:00,1.435
2024-11-23 07:50:00,1.447
2024-11-23 08:00:00,1.45
2024-11-23 08:05:00,1.448
2024-11-23 08:15:00,1.454
2024-11-23 08:25:00,1.456
2024-11-23 08:40:00,1.458
2024-11-23 09:10:00,1.434
2024-11-23 09:20:00,1.418
2024-11-23 09:35:00,1.398
2024-11-23 09:50:00,1.368
2024-11-23 10:00:00,1.338
2024-11-23 10:15:00,1.32
2024-11-23 10:25:00,1.292
2024-11-23 10:30:00,1.284
2024-11-23 10:40:00,1.265
2024-11-23 10:45:00,1.256
2024-11-23 10:50:00,1.239
2024-11-23 10:55:00,1.231
2024-11-23 11:00:00,1.219
2024-11-23 11:10:00,1.207
2024-11-23 11:20:00,1.188
2024-11-23 11:25:00,1.177
2024-11-23 11:35:00,1.172
2024-11-23 11:50:00,1.164
2024-11-23 12:00:00,1.159
2024-11-23 12:25:00,1.146
2024-11-23 12:40:00,1.14
2024-11-23 12:45:00,1.142
2024-11-23 12:55:00,1.132
2024-11-23 13:00:00,1.128
2024-11-23 13:15:00,1.12
2024-11-23 13:35:00,1.105
2024-11-23 13:45:00,1.105
2024-11-23 13:50:00,1.096
2024-11-23 13:55:00,1.081
2024-11-23 14:05:00,1.071
2024-11-23 14:15:00,1.066
2024-11-23 14:25:00,1.058
2024-11-23 14:35:00,1.046
2024-11-23 14:40:00,1.043
2024-11-23 14:45:00,1.032
2024-11-23 14:55:00,1.021
2024-11-23 15:00:00,1.006
2024-11-23 15:05:00,1.029
2024-11-23 15:10:00,1.013
2024-11-23 15:15:00,1.004
2024-11-23 15:20:00,1.006
2024-11-23 15:35:00,0.991
2024-11-23 15:50:00,0.98
2024-11-23 16:05:00,0.95
2024-11-23 16:45:00,0.901
2024-11-23 16:55:00,0.891
2024-11-23 17:00:00,0.883
2024-11-23 17:10:00,0.88
2024-11-23 17:30:00,0.884
2024-11-23 17:35:00,0.883
2024-11-23 17:40:00,0.882
2024-11-23 17:45:00,0.883
2024-11-23 17:50:00,0.884
2024-11-23 18:05:00,0.889
2024-11-23 18:20:00,0.891
2024-11-23 18:35:00,0.891
2024-11-23 18:50:00,0.946
2024-11-23 18:55:00,0.965
2024-11-23 19:00:00,0.98
2024-11-23 19:05:00,0.993
2024-11-23 19:10:00,1.011
2024-11-23 19:25:00,1.059
2024-11-23 19:35:00,1.096
2024-11-23 19:40:00,1.125
2024-11-23 19:45:00,1.151
2024-11-23 20:10:00,1.188
2024-11-23 20:20:00,1.215
2024-11-23 20:25:00,1.227
2024-11-23 20:45:00,1.245
2024-11-23 21:00:00,1.256
2024-11-23 21:10:00,1.258
2024-11-23 21:15:00,1.266
2024-11-23 21:30:00,1.271
2024-11-23 21:40:00,1.266
2024-11-23 21:45:00,1.258
2024-11-23 21:50:00,1.26
2024-11-23 22:20:00,1.242
2024-11-23 22:25:00,1.231
2024-11-23 22:35:00,1.22
2024-11-23 22:50:00,1.191
2024-11-23 22:55:00,1.188
2024-11-23 23:00:00,1.175
2024-11-23 23:05:00,1.184
2024-11-23 23:10:00,1.166
2024-11-23 23:15:00,1.158
2024-11-23 23:20:00,1.15
2024-11-23 23:25:00,1.142
2024-11-23 23:30:00,1.138
2024-11-23 23:40:00,1.122
2024-11-23 23:50:00,1.099
2024-11-23 23:55:00,1.103
2024-11-24 00:00:00,1.092
2024-11-24 00:10:00,1.077
2024-11-24 00:20:00,1.063
2024-11-24 00:35:00,1.05
2024-11-24 00:50:00,1.032
