Datetime,observed
2024-09-28 04:05:00,2.817
2024-11-18 17:10:00,1.682
2024-11-18 21:40:00,1.369
2024-11-18 22:10:00,1.332
2024-11-18 23:35:00,1.227
2024-11-19 01:35:00,1.565
2024-11-19 03:05:00,1.895
2024-11-19 05:35:00,1.786
2024-11-19 05:40:00,1.778
2024-11-19 08:10:00,1.557
2024-11-19 10:45:00,1.382
2024-11-19 13:05:00,1.24
2024-11-19 16:40:00,1.687
2024-11-19 18:05:00,1.553
2024-11-19 20:40:00,1.398
2024-11-19 23:10:00,1.232
2024-11-20 01:40:00,1.278
2024-11-20 04:10:00,1.82
2024-11-20 09:10:00,1.464
2024-11-20 10:15:00,1.398
2024-11-20 11:40:00,1.306
2024-11-20 12:40:00,1.234
2024-11-20 14:10:00,1.184
2024-11-20 16:40:00,1.581
2024-11-20 19:10:00,1.454
2024-11-20 21:40:00,1.319
2024-11-21 00:10:00,1.158
2024-11-21 02:25:00,1.167
2024-11-21 02:45:00,1.261
2024-11-21 05:10:00,1.735
2024-11-21 07:40:00,1.535
2024-11-21 07:45:00,1.518
2024-11-21 08:15:00,1.484
2024-11-21 08:35:00,1.459
2024-11-21 08:50:00,1.442
2024-11-21 08:55:00,1.438
2024-11-21 09:00:00,1.433
2024-11-21 09:15:00,1.416
2024-11-21 09:20:00,1.413
2024-11-21 09:25:00,1.409
2024-11-21 09:30:00,1.406
2024-11-21 09:35:00,1.402
2024-11-21 09:40:00,1.396
2024-11-21 09:45:00,1.393
2024-11-21 10:10:00,1.368
2024-11-21 10:20:00,1.361
2024-11-21 10:25:00,1.358
2024-11-21 10:55:00,1.326
2024-11-21 11:00:00,1.315
2024-11-21 11:05:00,1.313
2024-11-21 11:10:00,1.306
2024-11-21 11:15:00,1.309
2024-11-21 11:20:00,1.299
2024-11-21 11:30:00,1.285
2024-11-21 11:35:00,1.28
2024-11-21 11:40:00,1.277
2024-11-21 11:45:00,1.269
2024-11-21 12:15:00,1.242
2024-11-21 12:20:00,1.229
2024-11-21 12:25:00,1.231
2024-11-21 12:35:00,1.218
2024-11-21 12:40:00,1.209
2024-11-21 12:45:00,1.209
2024-11-21 12:50:00,1.203
2024-11-21 12:55:00,1.193
2024-11-21 13:10:00,1.184
2024-11-21 13:15:00,1.181
2024-11-21 13:25:00,1.169
2024-11-21 13:30:00,1.16
2024-11-21 13:50:00,1.144
2024-11-21 14:05:00,1.132
2024-11-21 14:10:00,1.132
2024-11-21 14:15:00,1.12
2024-11-21 14:20:00,1.12
2024-11-21 14:25:00,1.122
2024-11-21 14:30:00,1.122
2024-11-21 14:50:00,1.104
2024-11-21 15:00:00,1.11
2024-11-21 15:25:00,1.12
2024-11-21 15:35:00,1.139
2024-11-21 15:40:00,1.142
2024-11-21 16:00:00,1.195
2024-11-21 16:15:00,1.247
2024-11-21 16:20:00,1.268
2024-11-21 16:30:00,1.292
2024-11-21 16:35:00,1.309
2024-11-21 16:40:00,1.32
2024-11-21 16:45:00,1.335
2024-11-21 17:00:00,1.373
2024-11-21 17:15:00,1.408
2024-11-21 17:20:00,1.414
2024-11-21 17:25:00,1.421
2024-11-21 17:30:00,1.426
2024-11-21 17:35:00,1.442
2024-11-21 17:40:00,1.445
2024-11-21 17:45:00,1.446
2024-11-21 17:50:00,1.454
2024-11-21 17:55:00,1.461
2024-11-21 18:00:00,1.46
2024-11-21 18:05:00,1.458
2024-11-21 18:10:00,1.471
2024-11-21 18:15:00,1.462
2024-11-21 18:20:00,1.478
2024-11-21 18:25:00,1.468
2024-11-21 18:30:00,1.472
2024-11-21 18:35:00,1.456
2024-11-21 18:40:00,1.446
2024-11-21 18:45:00,1.439
2024-11-21 18:50:00,1.436
2024-11-21 18:55:00,1.44
2024-11-21 19:00:00,1.417
2024-11-21 19:05:00,1.417
2024-11-21 19:10:00,1.412
2024-11-21 19:15:00,1.406
2024-11-21 19:20:00,1.399
2024-11-21 19:25:00,1.394
2024-11-21 19:30:00,1.389
2024-11-21 19:35:00,1.384
2024-11-21 19:40:00,1.373
2024-11-21 19:45:00,1.372
2024-11-21 19:50:00,1.366
2024-11-21 19:55:00,1.357
2024-11-21 20:00:00,1.36
2024-11-21 20:05:00,1.358
2024-11-21 20:10:00,1.36
2024-11-21 20:15:00,1.348
2024-11-21 20:20:00,1.336
2024-11-21 20:25:00,1.335
2024-11-21 20:30:00,1.329
2024-11-21 20:35:00,1.333
2024-11-21 20:40:00,1.318
2024-11-21 20:45:00,1.31
2024-11-21 20:50:00,1.308
2024-11-21 20:55:00,1.303
2024-11-21 21:00:00,1.3
2024-11-21 21:05:00,1.302
2024-11-21 21:10:00,1.295
2024-11-21 21:15:00,1.293
2024-11-21 21:20:00,1.287
2024-11-21 21:25:00,1.28
2024-11-21 21:30:00,1.281
2024-11-21 21:35:00,1.274
2024-11-21 21:40:00,1.269
2024-11-21 21:45:00,1.265
2024-11-21 21:50:00,1.267
2024-11-21 21:55:00,1.254
2024-11-21 22:00:00,1.255
2024-11-21 22:05:00,1.249
2024-11-21 22:10:00,1.246
2024-11-21 22:15:00,1.244
2024-11-21 22:20:00,1.235
2024-11-21 22:25:00,1.24
2024-11-21 22:30:00,1.222
2024-11-21 22:35:00,1.23
2024-11-21 22:40:00,1.22
2024-11-21 22:45:00,1.22
2024-11-21 22:50:00,1.217
2024-11-21 22:55:00,1.205
2024-11-21 23:00:00,1.198
2024-11-21 23:05:00,1.199
2024-11-21 23:10:00,1.192
2024-11-21 23:15:00,1.184
2024-11-21 23:20:00,1.184
2024-11-21 23:25:00,1.186
2024-11-21 23:30:00,1.182
2024-11-21 23:35:00,1.169
2024-11-21 23:40:00,1.171
2024-11-21 23:45:00,1.16
2024-11-21 23:50:00,1.155
2024-11-21 23:55:00,1.15
2024-11-22 00:00:00,1.147
2024-11-22 00:05:00,1.139
2024-11-22 00:10:00,1.137
2024-11-22 00:15:00,1.133
2024-11-22 00:20:00,1.132
2024-11-22 00:25:00,1.116
