Datetime,observed
2024-10-09 09:35:00,0.953
2024-10-09 10:20:00,1.013
2024-10-09 10:40:00,1.042
2024-10-09 10:45:00,1.052
2024-10-09 11:10:00,1.061
2024-10-09 11:30:00,1.077
2024-10-09 11:50:00,1.078
2024-10-09 12:10:00,1.067
2024-10-09 12:40:00,1.05
2024-10-09 12:50:00,1.04
2024-10-09 14:25:00,0.99
2024-10-09 14:45:00,0.975
2024-10-09 15:00:00,0.959
2024-10-09 15:15:00,0.947
2024-10-09 15:45:00,0.912
2024-10-09 15:55:00,0.899
2024-10-09 16:00:00,0.893
2024-10-09 16:15:00,0.876
2024-10-09 16:20:00,0.872
2024-10-09 16:30:00,0.86
2024-10-09 16:55:00,0.828
2024-10-09 17:10:00,0.807
2024-10-09 17:20:00,0.792
2024-10-09 17:30:00,0.778
2024-10-09 17:40:00,0.764
2024-10-09 17:45:00,0.757
2024-10-09 18:00:00,0.738
2024-10-09 18:10:00,0.721
2024-10-09 18:15:00,0.718
2024-10-09 18:25:00,0.705
2024-10-09 18:50:00,0.676
2024-10-09 19:05:00,0.669
2024-10-09 19:20:00,0.663
2024-10-09 19:25:00,0.654
2024-10-09 19:30:00,0.664
2024-10-09 19:35:00,0.667
2024-10-09 19:40:00,0.668
2024-10-09 19:45:00,0.671
2024-10-09 20:10:00,0.694
2024-10-09 20:15:00,0.701
2024-10-09 20:25:00,0.722
2024-10-09 20:40:00,0.749
2024-10-09 20:45:00,0.757
2024-10-09 21:05:00,0.798
2024-10-09 21:15:00,0.822
2024-10-09 21:30:00,0.859
2024-10-09 21:35:00,0.87
2024-10-09 21:45:00,0.896
2024-10-09 21:50:00,0.906
2024-10-09 21:55:00,0.916
2024-10-09 22:10:00,0.951
2024-10-09 22:15:00,0.96
2024-10-09 22:25:00,0.98
2024-10-09 22:30:00,0.99
2024-10-09 22:45:00,1.022
2024-10-09 22:50:00,1.032
2024-10-09 23:20:00,1.082
2024-10-09 23:30:00,1.091
2024-10-09 23:35:00,1.097
2024-10-09 23:45:00,1.109
2024-10-09 23:55:00,1.113
2024-10-10 00:00:00,1.121
2024-10-10 00:05:00,1.129
2024-10-10 00:15:00,1.134
2024-10-10 00:35:00,1.144
2024-10-10 00:40:00,1.147
2024-10-10 00:50:00,1.148
2024-10-10 00:55:00,1.145
2024-10-10 01:05:00,1.136
2024-10-10 01:15:00,1.129
2024-10-10 01:20:00,1.122
2024-10-10 01:25:00,1.119
2024-10-10 01:30:00,1.118
2024-10-10 01:45:00,1.102
2024-10-10 02:05:00,1.07
2024-10-10 02:15:00,1.069
2024-10-10 02:45:00,1.034
2024-10-10 02:55:00,1.023
2024-10-10 03:00:00,1.022
2024-10-10 03:10:00,1.016
2024-10-10 03:40:00,0.997
2024-10-10 03:55:00,0.987
2024-10-10 04:20:00,0.963
2024-10-10 04:30:00,0.96
2024-10-10 04:35:00,0.949
2024-10-10 04:45:00,0.947
2024-10-10 04:50:00,0.94
2024-10-10 04:55:00,0.938
2024-10-10 05:10:00,0.923
2024-10-10 05:20:00,0.91
2024-10-10 05:25:00,0.905
2024-10-10 05:35:00,0.896
2024-10-10 05:40:00,0.889
2024-10-10 05:50:00,0.879
2024-10-10 06:15:00,0.847
2024-10-10 06:20:00,0.844
2024-10-10 06:30:00,0.835
2024-10-10 06:40:00,0.821
2024-10-10 07:10:00,0.801
2024-10-10 07:40:00,0.786
2024-10-10 07:50:00,0.782
2024-10-10 08:10:00,0.776
2024-10-10 08:30:00,0.784
2024-10-10 08:35:00,0.787
2024-10-10 08:45:00,0.79
2024-10-10 08:50:00,0.796
2024-10-10 09:10:00,0.806
2024-10-10 09:15:00,0.813
2024-10-10 09:30:00,0.828
2024-10-10 09:40:00,0.838
2024-10-10 10:05:00,0.866
2024-10-10 10:10:00,0.869
2024-10-10 10:25:00,0.882
2024-10-10 10:45:00,0.904
2024-10-10 10:50:00,0.909
2024-10-10 11:00:00,0.92
2024-10-10 11:05:00,0.927
2024-10-10 11:25:00,0.944
2024-10-10 11:30:00,0.947
2024-10-10 11:40:00,0.96
2024-10-10 11:55:00,0.97
2024-10-10 12:30:00,0.981
2024-10-10 12:50:00,0.985
2024-10-10 13:10:00,0.976
2024-10-10 13:15:00,0.971
2024-10-10 13:30:00,0.99
2024-10-10 13:45:00,0.961
2024-10-10 14:00:00,0.95
2024-10-10 14:15:00,0.945
2024-10-10 14:30:00,0.937
2024-10-10 14:40:00,0.935
2024-10-10 15:20:00,0.921
2024-10-10 15:45:00,0.889
2024-10-10 16:00:00,0.874
2024-10-10 16:05:00,0.871
2024-10-10 16:25:00,0.852
2024-10-10 16:35:00,0.845
2024-10-10 16:40:00,0.832
2024-10-10 16:50:00,0.821
2024-10-10 16:55:00,0.821
2024-10-10 17:10:00,0.801
2024-10-10 17:30:00,0.783
2024-10-10 17:35:00,0.773
2024-10-10 17:50:00,0.758
2024-10-10 18:20:00,0.718
2024-10-10 18:25:00,0.711
2024-10-10 18:35:00,0.704
2024-10-10 18:40:00,0.701
2024-10-10 18:45:00,0.695
2024-10-10 18:55:00,0.676
2024-10-10 19:05:00,0.674
2024-10-10 19:20:00,0.653
2024-10-10 19:35:00,0.649
2024-10-10 19:40:00,0.637
2024-10-10 19:55:00,0.635
2024-10-10 20:00:00,0.632
2024-10-10 20:10:00,0.634
2024-10-10 20:15:00,0.633
2024-10-10 20:20:00,0.632
2024-10-10 20:25:00,0.631
2024-10-10 20:35:00,0.631
2024-10-10 20:40:00,0.641
2024-10-10 20:50:00,0.646
2024-10-10 20:55:00,0.65
2024-10-10 21:10:00,0.665
2024-10-10 21:20:00,0.679
2024-10-10 21:30:00,0.692
2024-10-10 21:35:00,0.707
2024-10-10 21:45:00,0.721
2024-10-10 21:50:00,0.727
2024-10-10 22:00:00,0.747
2024-10-10 22:15:00,0.789
2024-10-10 22:45:00,0.849
2024-10-10 22:50:00,0.863
2024-10-10 22:55:00,0.88
2024-10-10 23:00:00,0.891
2024-10-10 23:05:00,0.902
2024-10-10 23:10:00,0.903
2024-10-10 23:20:00,0.916
2024-10-10 23:35:00,0.945
2024-10-10 23:40:00,0.953
2024-10-11 00:00:00,0.982
2024-10-11 00:05:00,0.989
2024-10-11 00:10:00,0.993
2024-10-11 00:15:00,1.001
2024-10-11 00:20:00,1.006
2024-10-11 00:25:00,1.013
2024-10-11 00:30:00,1.016
2024-10-11 00:45:00,1.029
2024-10-11 00:55:00,1.032
2024-10-11 01:00:00,1.039
2024-10-11 01:20:00,1.047
2024-10-11 01:40:00,1.047
2024-10-11 01:50:00,1.051
2024-10-11 01:55:00,1.045
2024-10-11 02:10:00,1.04
2024-10-11 02:20:00,1.033
2024-10-11 02:45:00,1.014
2024-10-11 02:55:00,1.008
2024-10-11 03:00:00,1.006
2024-10-11 03:05:00,0.998
2024-10-11 03:10:00,0.988
2024-10-11 03:15:00,0.988
2024-10-11 03:20:00,0.99
2024-10-11 03:25:00,0.983
2024-10-11 03:35:00,0.979
2024-10-11 03:50:00,0.965
2024-10-11 04:05:00,0.962
2024-10-11 04:10:00,0.956
2024-10-11 04:20:00,0.949
2024-10-11 04:25:00,0.946
2024-10-11 04:30:00,0.944
2024-10-11 04:35:00,0.941
2024-10-11 04:45:00,0.934
2024-10-11 04:50:00,0.931
2024-10-11 05:10:00,0.92
2024-10-11 05:15:00,0.915
2024-10-11 05:25:00,0.909
2024-10-11 05:40:00,0.898
2024-10-11 05:50:00,0.888
2024-10-11 06:05:00,0.872
2024-10-11 06:35:00,0.851
2024-10-11 06:45:00,0.842
2024-10-11 07:10:00,0.815
2024-10-11 07:25:00,0.798
2024-10-11 07:40:00,0.788
