Datetime,observed
2024-09-28 04:10:00,2.625
2024-11-18 19:30:00,1.398
2024-11-18 21:00:00,1.232
2024-11-18 22:00:00,1.13
2024-11-19 00:30:00,1.48
2024-11-19 03:00:00,2.017
2024-11-19 05:30:00,1.778
2024-11-19 08:00:00,1.469
2024-11-19 09:35:00,1.303
2024-11-19 10:30:00,1.213
2024-11-19 12:50:00,1.141
2024-11-19 13:35:00,1.402
2024-11-19 15:30:00,1.758
2024-11-19 16:10:00,1.75
2024-11-19 18:00:00,1.542
2024-11-19 20:25:00,1.287
2024-11-20 00:35:00,1.098
2024-11-20 01:30:00,1.48
2024-11-20 04:00:00,1.926
2024-11-20 06:30:00,1.657
2024-11-20 07:05:00,1.59
2024-11-20 09:00:00,1.366
2024-11-20 11:40:00,1.115
2024-11-20 13:15:00,1.059
2024-11-20 14:10:00,1.243
2024-11-20 16:40:00,1.676
2024-11-20 19:10:00,1.429
2024-11-20 21:40:00,1.191
2024-11-20 23:15:00,1.048
2024-11-21 00:10:00,0.99
2024-11-21 02:40:00,1.512
2024-11-21 07:05:00,1.592
2024-11-21 07:10:00,1.588
2024-11-21 07:15:00,1.575
2024-11-21 07:20:00,1.567
2024-11-21 07:25:00,1.546
2024-11-21 07:30:00,1.54
2024-11-21 07:35:00,1.551
2024-11-21 07:40:00,1.52
2024-11-21 07:45:00,1.517
2024-11-21 07:50:00,1.503
2024-11-21 07:55:00,1.5
2024-11-21 08:00:00,1.49
2024-11-21 08:05:00,1.476
2024-11-21 08:10:00,1.464
2024-11-21 08:15:00,1.457
2024-11-21 08:20:00,1.451
2024-11-21 08:25:00,1.441
2024-11-21 08:30:00,1.424
2024-11-21 08:35:00,1.411
2024-11-21 08:40:00,1.409
2024-11-21 08:45:00,1.397
2024-11-21 08:50:00,1.391
2024-11-21 08:55:00,1.381
2024-11-21 09:00:00,1.363
2024-11-21 09:05:00,1.355
2024-11-21 09:10:00,1.341
2024-11-21 09:15:00,1.34
2024-11-21 09:20:00,1.318
2024-11-21 09:25:00,1.33
2024-11-21 09:30:00,1.312
2024-11-21 09:35:00,1.322
2024-11-21 09:40:00,1.303
2024-11-21 09:45:00,1.299
2024-11-21 09:50:00,1.283
2024-11-21 09:55:00,1.279
2024-11-21 10:00:00,1.27
2024-11-21 10:05:00,1.261
2024-11-21 10:10:00,1.256
2024-11-21 10:15:00,1.248
2024-11-21 10:20:00,1.241
2024-11-21 10:25:00,1.231
2024-11-21 10:30:00,1.227
2024-11-21 10:35:00,1.214
2024-11-21 10:40:00,1.211
2024-11-21 10:45:00,1.206
2024-11-21 10:50:00,1.2
2024-11-21 10:55:00,1.185
2024-11-21 11:00:00,1.184
2024-11-21 11:05:00,1.173
2024-11-21 11:10:00,1.163
2024-11-21 11:15:00,1.161
2024-11-21 11:20:00,1.157
2024-11-21 11:25:00,1.151
2024-11-21 11:30:00,1.145
2024-11-21 11:35:00,1.137
2024-11-21 11:40:00,1.131
2024-11-21 11:45:00,1.128
2024-11-21 11:50:00,1.12
2024-11-21 11:55:00,1.115
2024-11-21 12:00:00,1.104
2024-11-21 12:05:00,1.094
2024-11-21 12:10:00,1.086
2024-11-21 12:15:00,1.081
2024-11-21 12:20:00,1.079
2024-11-21 12:25:00,1.067
2024-11-21 12:30:00,1.063
2024-11-21 12:35:00,1.053
2024-11-21 12:40:00,1.051
2024-11-21 12:45:00,1.045
2024-11-21 12:50:00,1.041
2024-11-21 12:55:00,1.035
2024-11-21 13:00:00,1.029
2024-11-21 13:05:00,1.02
2024-11-21 13:10:00,1.018
2024-11-21 13:15:00,1.013
2024-11-21 13:20:00,1.013
2024-11-21 13:25:00,1.007
2024-11-21 13:30:00,1.0
2024-11-21 13:35:00,1.008
2024-11-21 13:40:00,1.002
2024-11-21 13:45:00,1.005
2024-11-21 13:50:00,1.004
2024-11-21 13:55:00,0.996
2024-11-21 14:00:00,1.005
2024-11-21 14:05:00,1.011
2024-11-21 14:10:00,1.013
2024-11-21 14:15:00,1.017
2024-11-21 14:20:00,1.025
2024-11-21 14:25:00,1.031
2024-11-21 14:30:00,1.035
2024-11-21 14:35:00,1.046
2024-11-21 14:40:00,1.059
2024-11-21 14:45:00,1.073
2024-11-21 14:50:00,1.086
