Datetime,level
2024-09-28 04:10:00,3.336
2024-11-18 18:20:00,2.039
2024-11-18 19:30:00,2.026
2024-11-18 21:15:00,1.996
2024-11-18 22:00:00,1.982
2024-11-19 00:30:00,1.924
2024-11-19 01:10:00,1.907
2024-11-19 03:00:00,1.881
2024-11-19 05:30:00,2.01
2024-11-19 06:20:00,2.046
2024-11-19 08:00:00,2.048
2024-11-19 09:45:00,2.009
2024-11-19 10:30:00,1.989
2024-11-19 13:00:00,1.938
2024-11-19 14:15:00,1.908
2024-11-19 15:30:00,1.881
2024-11-19 18:00:00,1.926
2024-11-19 20:30:00,1.926
2024-11-19 22:15:00,1.898
2024-11-19 23:00:00,1.883
2024-11-20 01:30:00,1.825
2024-11-20 04:00:00,1.807
2024-11-20 04:45:00,1.842
2024-11-20 06:30:00,1.937
2024-11-20 09:00:00,1.952
2024-11-20 09:45:00,1.936
2024-11-20 11:30:00,1.902
2024-11-20 13:10:00,1.866
2024-11-20 14:00:00,1.842
2024-11-20 16:30:00,1.786
2024-11-20 17:20:00,1.792
2024-11-20 19:00:00,1.84
2024-11-20 20:50:00,1.836
2024-11-20 21:30:00,1.826
2024-11-21 00:00:00,1.783
2024-11-21 01:50:00,1.738
2024-11-21 02:30:00,1.721
2024-11-21 05:00:00,1.731
2024-11-21 07:05:00,1.851
2024-11-21 07:10:00,1.853
2024-11-21 07:15:00,1.855
2024-11-21 07:20:00,1.859
2024-11-21 07:25:00,1.861
2024-11-21 07:30:00,1.863
2024-11-21 07:35:00,1.866
2024-11-21 07:40:00,1.867
2024-11-21 07:45:00,1.87
2024-11-21 07:50:00,1.872
2024-11-21 07:55:00,1.871
2024-11-21 08:00:00,1.873
2024-11-21 08:05:00,1.872
2024-11-21 08:10:00,1.873
2024-11-21 08:15:00,1.874
2024-11-21 08:20:00,1.873
2024-11-21 08:25:00,1.874
2024-11-21 08:30:00,1.873
2024-11-21 08:35:00,1.871
2024-11-21 08:40:00,1.863
2024-11-21 08:45:00,1.867
2024-11-21 08:50:00,1.865
2024-11-21 08:55:00,1.864
2024-11-21 09:00:00,1.859
2024-11-21 09:05:00,1.863
2024-11-21 09:10:00,1.866
2024-11-21 09:15:00,1.863
2024-11-21 09:20:00,1.863
2024-11-21 09:25:00,1.84
2024-11-21 09:30:00,1.85
2024-11-21 09:35:00,1.858
2024-11-21 09:40:00,1.864
2024-11-21 09:45:00,1.826
2024-11-21 09:50:00,1.841
2024-11-21 09:55:00,1.857
2024-11-21 10:00:00,1.845
2024-11-21 10:05:00,1.84
2024-11-21 10:10:00,1.85
2024-11-21 10:15:00,1.849
2024-11-21 10:20:00,1.84
2024-11-21 10:25:00,1.844
2024-11-21 10:30:00,1.844
2024-11-21 10:35:00,1.844
2024-11-21 10:40:00,1.843
2024-11-21 10:45:00,1.84
2024-11-21 10:50:00,1.829
2024-11-21 10:55:00,1.835
2024-11-21 11:00:00,1.837
2024-11-21 11:05:00,1.836
2024-11-21 11:10:00,1.832
2024-11-21 11:15:00,1.832
2024-11-21 11:20:00,1.829
2024-11-21 11:25:00,1.828
2024-11-21 11:30:00,1.827
2024-11-21 11:35:00,1.825
2024-11-21 11:40:00,1.825
2024-11-21 11:45:00,1.825
2024-11-21 11:50:00,1.822
2024-11-21 11:55:00,1.821
2024-11-21 12:00:00,1.82
2024-11-21 12:05:00,1.814
2024-11-21 12:10:00,1.816
2024-11-21 12:15:00,1.813
