Datetime,observed
2024-09-28 04:10:00,2.692
2024-11-18 18:30:00,1.551
2024-11-18 19:30:00,1.426
2024-11-18 23:15:00,1.069
2024-11-19 00:15:00,1.114
2024-11-19 02:35:00,2.019
2024-11-19 05:05:00,1.964
2024-11-19 07:35:00,1.58
2024-11-19 10:05:00,1.31
2024-11-19 12:00:00,1.109
2024-11-19 12:35:00,1.095
2024-11-19 13:45:00,1.249
2024-11-19 15:05:00,1.697
2024-11-19 20:05:00,1.353
2024-11-19 21:10:00,1.257
2024-11-19 22:25:00,1.144
2024-11-20 00:55:00,1.041
2024-11-20 02:10:00,1.539
2024-11-20 03:25:00,1.897
2024-11-20 05:45:00,1.886
2024-11-20 05:55:00,1.84
2024-11-20 08:25:00,1.484
2024-11-20 10:55:00,1.216
2024-11-20 12:00:00,1.131
2024-11-20 13:45:00,1.05
2024-11-20 15:55:00,1.612
2024-11-20 17:10:00,1.756
2024-11-20 19:10:00,1.487
2024-11-20 23:25:00,1.075
2024-11-20 23:35:00,1.062
2024-11-21 02:05:00,1.098
2024-11-21 04:25:00,1.805
2024-11-21 05:15:00,1.882
