Datetime,level
2024-09-28 04:05:00,4.363
2024-11-18 18:45:00,3.156
2024-11-18 19:25:00,3.157
2024-11-18 20:15:00,3.151
2024-11-18 21:55:00,3.142
2024-11-18 22:00:00,3.142
2024-11-19 01:15:00,3.137
2024-11-19 02:55:00,3.136
2024-11-19 03:45:00,3.131
2024-11-19 05:25:00,3.124
2024-11-19 07:55:00,3.117
2024-11-19 10:25:00,3.096
2024-11-19 10:30:00,3.107
2024-11-19 11:50:00,3.112
2024-11-19 13:00:00,3.116
2024-11-19 14:00:00,3.118
2024-11-19 17:15:00,3.108
2024-11-19 17:55:00,3.102
2024-11-19 18:00:00,3.1
2024-11-19 21:15:00,3.084
2024-11-19 22:55:00,3.08
2024-11-19 23:00:00,3.082
2024-11-20 01:30:00,3.075
2024-11-20 04:45:00,3.074
2024-11-20 06:25:00,3.065
2024-11-20 06:30:00,3.064
2024-11-20 09:45:00,3.048
2024-11-20 11:25:00,3.047
2024-11-20 13:15:00,3.052
2024-11-20 13:55:00,3.056
2024-11-20 14:00:00,3.052
2024-11-20 16:25:00,3.048
2024-11-20 18:15:00,3.046
2024-11-20 19:00:00,3.053
2024-11-20 19:55:00,3.04
2024-11-20 23:55:00,3.022
2024-11-21 00:55:00,3.017
2024-11-21 02:25:00,3.017
2024-11-21 02:30:00,3.016
2024-11-21 07:25:00,3.006
2024-11-21 07:30:00,3.006
2024-11-21 08:50:00,2.997
2024-11-21 09:15:00,2.991
2024-11-21 09:20:00,2.986
2024-11-21 09:25:00,2.984
2024-11-21 09:40:00,2.985
2024-11-21 09:50:00,2.987
2024-11-21 09:55:00,2.985
2024-11-21 10:00:00,2.986
2024-11-21 10:05:00,2.991
2024-11-21 10:20:00,2.986
2024-11-21 10:30:00,2.989
2024-11-21 10:35:00,2.988
2024-11-21 10:40:00,2.98
2024-11-21 10:45:00,2.984
2024-11-21 11:00:00,2.986
2024-11-21 11:10:00,2.984
2024-11-21 11:25:00,2.984
2024-11-21 11:40:00,2.98
2024-11-21 11:45:00,2.983
2024-11-21 11:50:00,2.982
2024-11-21 11:55:00,2.984
2024-11-21 12:00:00,2.985
2024-11-21 12:15:00,2.986
2024-11-21 12:20:00,2.987
2024-11-21 12:25:00,2.985
2024-11-21 12:30:00,2.986
2024-11-21 12:45:00,2.99
2024-11-21 12:50:00,2.991
2024-11-21 12:55:00,2.99
2024-11-21 13:00:00,2.991
2024-11-21 13:05:00,2.993
2024-11-21 13:15:00,2.993
2024-11-21 13:20:00,2.994
2024-11-21 13:25:00,2.991
2024-11-21 13:30:00,2.993
2024-11-21 13:40:00,2.994
2024-11-21 13:45:00,2.995
2024-11-21 13:50:00,2.993
2024-11-21 13:55:00,2.994
2024-11-21 14:00:00,2.995
2024-11-21 14:15:00,2.994
2024-11-21 14:20:00,2.995
2024-11-21 14:30:00,2.996
2024-11-21 14:35:00,2.996
2024-11-21 14:40:00,2.996
2024-11-21 14:45:00,2.996
2024-11-21 14:50:00,2.996
2024-11-21 15:00:00,2.997
2024-11-21 15:10:00,2.997
2024-11-21 15:15:00,2.994
2024-11-21 15:25:00,2.998
2024-11-21 15:30:00,2.997
2024-11-21 15:35:00,2.996
2024-11-21 15:40:00,2.997
2024-11-21 15:45:00,2.996
2024-11-21 15:50:00,2.996
2024-11-21 15:55:00,2.992
2024-11-21 16:00:00,2.995
2024-11-21 16:05:00,2.996
2024-11-21 16:25:00,2.992
2024-11-21 16:30:00,2.992
2024-11-21 16:35:00,2.993
2024-11-21 16:40:00,2.991
2024-11-21 17:00:00,2.991
2024-11-21 17:15:00,2.988
2024-11-21 17:20:00,2.989
2024-11-21 17:30:00,2.988
2024-11-21 17:40:00,2.989
2024-11-21 17:45:00,2.987
2024-11-21 17:50:00,2.99
2024-11-21 18:00:00,2.988
2024-11-21 18:05:00,2.988
2024-11-21 18:10:00,2.988
2024-11-21 18:20:00,2.987
2024-11-21 18:25:00,2.987
2024-11-21 18:30:00,2.985
2024-11-21 18:35:00,2.987
2024-11-21 18:55:00,2.983
2024-11-21 19:00:00,2.982
2024-11-21 19:10:00,2.983
2024-11-21 19:15:00,2.984
2024-11-21 19:35:00,2.984
2024-11-21 19:40:00,2.985
2024-11-21 19:45:00,2.984
2024-11-21 19:55:00,2.981
2024-11-21 20:00:00,2.98
2024-11-21 20:05:00,2.98
2024-11-21 20:10:00,2.979
2024-11-21 20:20:00,2.975
2024-11-21 20:30:00,2.98
2024-11-21 20:35:00,2.982
2024-11-21 21:00:00,2.977
2024-11-21 21:05:00,2.978
2024-11-21 21:20:00,2.975
2024-11-21 21:30:00,2.977
2024-11-21 21:35:00,2.976
2024-11-21 21:40:00,2.975
2024-11-21 21:45:00,2.974
2024-11-21 21:50:00,2.976
2024-11-21 22:05:00,2.975
2024-11-21 22:15:00,2.974
2024-11-21 22:20:00,2.972
2024-11-21 22:35:00,2.969
2024-11-21 22:50:00,2.969
2024-11-21 22:55:00,2.967
