Datetime,observed
2024-09-28 04:10:00,1.102
2024-11-18 19:30:00,0.987
2024-11-18 22:05:00,1.021
2024-11-19 03:00:00,0.003
2024-11-19 05:30:00,-0.213
2024-11-19 08:00:00,0.727
2024-11-19 10:30:00,0.614
2024-11-19 11:20:00,0.323
2024-11-19 13:40:00,-0.139
2024-11-19 15:30:00,-0.3
2024-11-19 18:00:00,0.067
2024-11-19 20:30:00,0.962
2024-11-19 23:00:00,0.899
2024-11-20 00:40:00,0.351
2024-11-20 01:30:00,0.216
2024-11-20 04:00:00,-0.038
2024-11-20 06:30:00,-0.034
2024-11-20 09:00:00,0.71
2024-11-20 10:35:00,0.654
2024-11-20 11:30:00,0.456
2024-11-20 14:00:00,-0.116
2024-11-20 16:30:00,-0.304
2024-11-20 17:25:00,-0.315
2024-11-20 20:35:00,0.816
2024-11-20 21:30:00,0.93
2024-11-21 00:00:00,0.731
2024-11-21 02:30:00,0.159
2024-11-21 04:05:00,0.029
2024-11-21 05:00:00,-0.064
2024-11-21 07:30:00,0.091
2024-11-21 09:35:00,0.59
2024-11-21 09:45:00,0.604
2024-11-21 09:50:00,0.607
2024-11-21 10:00:00,0.618
2024-11-21 10:10:00,0.626
2024-11-21 10:15:00,0.624
2024-11-21 10:20:00,0.621
2024-11-21 10:25:00,0.621
2024-11-21 10:30:00,0.615
2024-11-21 10:35:00,0.609
2024-11-21 10:40:00,0.604
2024-11-21 10:45:00,0.597
2024-11-21 10:50:00,0.59
2024-11-21 10:55:00,0.58
2024-11-21 11:15:00,0.541
2024-11-21 11:20:00,0.533
2024-11-21 11:30:00,0.514
2024-11-21 11:40:00,0.493
2024-11-21 11:50:00,0.457
2024-11-21 11:55:00,0.44
2024-11-21 12:00:00,0.425
2024-11-21 12:05:00,0.407
2024-11-21 12:10:00,0.386
2024-11-21 12:15:00,0.368
2024-11-21 12:20:00,0.347
2024-11-21 12:25:00,0.326
2024-11-21 12:30:00,0.309
2024-11-21 12:40:00,0.271
2024-11-21 12:45:00,0.245
2024-11-21 12:50:00,0.231
2024-11-21 12:55:00,0.212
2024-11-21 13:15:00,0.141
2024-11-21 13:20:00,0.125
2024-11-21 13:30:00,0.09
2024-11-21 13:35:00,0.07
2024-11-21 13:45:00,0.036
2024-11-21 13:50:00,0.013
2024-11-21 13:55:00,0.004
2024-11-21 14:00:00,-0.01
2024-11-21 14:05:00,-0.025
2024-11-21 14:15:00,-0.056
2024-11-21 14:25:00,-0.078
2024-11-21 14:30:00,-0.089
2024-11-21 14:35:00,-0.107
2024-11-21 14:40:00,-0.112
2024-11-21 14:45:00,-0.115
2024-11-21 14:55:00,-0.127
2024-11-21 15:00:00,-0.134
2024-11-21 15:05:00,-0.138
2024-11-21 15:10:00,-0.14
2024-11-21 15:20:00,-0.145
2024-11-21 15:35:00,-0.157
2024-11-21 15:50:00,-0.169
2024-11-21 15:55:00,-0.174
2024-11-21 16:05:00,-0.185
2024-11-21 16:10:00,-0.193
2024-11-21 16:15:00,-0.2
2024-11-21 16:20:00,-0.207
2024-11-21 16:25:00,-0.214
2024-11-21 16:30:00,-0.221
2024-11-21 16:35:00,-0.227
2024-11-21 17:00:00,-0.255
2024-11-21 17:05:00,-0.255
2024-11-21 17:15:00,-0.257
2024-11-21 17:25:00,-0.258
2024-11-21 17:30:00,-0.256
2024-11-21 17:35:00,-0.253
2024-11-21 17:55:00,-0.229
2024-11-21 18:20:00,-0.153
2024-11-21 18:35:00,-0.082
2024-11-21 18:45:00,-0.029
2024-11-21 18:50:00,0.003
2024-11-21 18:55:00,0.039
2024-11-21 19:00:00,0.072
2024-11-21 19:05:00,0.112
2024-11-21 19:15:00,0.194
2024-11-21 19:20:00,0.231
2024-11-21 19:25:00,0.267
2024-11-21 19:30:00,0.298
2024-11-21 19:45:00,0.387
2024-11-21 19:50:00,0.416
2024-11-21 19:55:00,0.439
2024-11-21 20:00:00,0.469
2024-11-21 20:10:00,0.522
2024-11-21 20:15:00,0.548
2024-11-21 20:25:00,0.596
2024-11-21 20:30:00,0.619
2024-11-21 20:35:00,0.639
2024-11-21 20:40:00,0.661
2024-11-21 20:50:00,0.698
2024-11-21 20:55:00,0.712
2024-11-21 21:05:00,0.736
2024-11-21 21:20:00,0.782
2024-11-21 21:25:00,0.793
2024-11-21 21:30:00,0.807
2024-11-21 21:40:00,0.828
2024-11-21 21:45:00,0.838
2024-11-21 21:55:00,0.854
2024-11-21 22:00:00,0.86
2024-11-21 22:05:00,0.865
2024-11-21 22:10:00,0.871
2024-11-21 22:20:00,0.877
2024-11-21 22:25:00,0.881
2024-11-21 22:35:00,0.882
2024-11-21 22:50:00,0.882
2024-11-21 22:55:00,0.878
2024-11-21 23:00:00,0.881
2024-11-21 23:05:00,0.879
2024-11-21 23:10:00,0.877
2024-11-21 23:15:00,0.875
2024-11-21 23:20:00,0.871
2024-11-21 23:25:00,0.865
2024-11-21 23:30:00,0.859
2024-11-21 23:45:00,0.834
2024-11-22 00:00:00,0.802
2024-11-22 00:10:00,0.78
2024-11-22 00:15:00,0.769
2024-11-22 00:25:00,0.739
2024-11-22 00:30:00,0.721
2024-11-22 00:40:00,0.686
2024-11-22 01:10:00,0.542
2024-11-22 01:20:00,0.489
2024-11-22 01:35:00,0.426
2024-11-22 01:40:00,0.405
2024-11-22 01:50:00,0.358
2024-11-22 02:10:00,0.285
2024-11-22 02:20:00,0.246
2024-11-22 02:30:00,0.218
2024-11-22 02:40:00,0.189
2024-11-22 02:45:00,0.175
2024-11-22 02:55:00,0.147
2024-11-22 03:10:00,0.12
2024-11-22 03:15:00,0.111
2024-11-22 03:25:00,0.098
2024-11-22 03:40:00,0.086
2024-11-22 03:50:00,0.08
2024-11-22 03:55:00,0.075
2024-11-22 04:05:00,0.06
