Datetime,observed
2024-09-28 04:00:00,0.826
2024-11-18 17:55:00,-0.199
2024-11-18 20:20:00,0.45
2024-11-18 22:00:00,0.77
2024-11-19 00:30:00,1.338
2024-11-19 03:00:00,0.918
2024-11-19 06:40:00,-0.048
2024-11-19 08:00:00,0.109
2024-11-19 08:05:00,0.15
2024-11-19 13:00:00,0.901
2024-11-19 15:30:00,0.51
2024-11-19 18:00:00,-0.088
2024-11-19 18:10:00,-0.122
2024-11-19 21:25:00,0.508
2024-11-19 23:00:00,0.772
2024-11-20 01:30:00,1.21
2024-11-20 04:00:00,0.781
2024-11-20 06:30:00,0.141
2024-11-20 09:00:00,0.24
2024-11-20 09:50:00,0.336
2024-11-20 11:30:00,0.544
2024-11-20 14:00:00,0.786
2024-11-20 16:30:00,0.41
2024-11-20 19:00:00,-0.113
2024-11-20 21:30:00,0.407
2024-11-20 23:20:00,0.685
2024-11-21 00:50:00,0.956
2024-11-21 02:30:00,1.062
2024-11-21 05:00:00,0.641
2024-11-21 07:30:00,0.094
2024-11-21 08:45:00,-0.012
2024-11-21 08:50:00,-0.003
2024-11-21 09:00:00,0.022
2024-11-21 09:05:00,0.034
2024-11-21 09:10:00,0.047
2024-11-21 09:15:00,0.07
2024-11-21 09:20:00,0.094
2024-11-21 09:30:00,0.147
2024-11-21 09:35:00,0.17
2024-11-21 09:45:00,0.216
2024-11-21 09:50:00,0.232
2024-11-21 10:00:00,0.254
2024-11-21 10:45:00,0.303
2024-11-21 10:55:00,0.325
2024-11-21 11:05:00,0.337
2024-11-21 11:10:00,0.348
2024-11-21 11:20:00,0.367
2024-11-21 11:25:00,0.372
2024-11-21 11:30:00,0.386
2024-11-21 11:50:00,0.433
2024-11-21 11:55:00,0.438
2024-11-21 12:00:00,0.446
2024-11-21 12:10:00,0.464
2024-11-21 12:20:00,0.478
2024-11-21 12:25:00,0.486
2024-11-21 12:35:00,0.503
2024-11-21 12:45:00,0.514
2024-11-21 13:05:00,0.538
2024-11-21 13:10:00,0.544
2024-11-21 13:30:00,0.572
2024-11-21 13:35:00,0.578
2024-11-21 13:40:00,0.589
2024-11-21 13:50:00,0.61
2024-11-21 14:00:00,0.631
2024-11-21 14:05:00,0.639
2024-11-21 14:15:00,0.653
2024-11-21 14:20:00,0.658
2024-11-21 14:25:00,0.66
2024-11-21 14:55:00,0.642
2024-11-21 15:20:00,0.609
2024-11-21 15:25:00,0.602
2024-11-21 15:35:00,0.589
2024-11-21 15:50:00,0.569
2024-11-21 16:05:00,0.539
2024-11-21 16:10:00,0.53
2024-11-21 16:15:00,0.519
2024-11-21 16:20:00,0.507
2024-11-21 16:25:00,0.497
2024-11-21 16:35:00,0.473
2024-11-21 16:45:00,0.448
2024-11-21 16:55:00,0.422
2024-11-21 17:00:00,0.407
2024-11-21 17:10:00,0.372
2024-11-21 17:15:00,0.36
2024-11-21 17:20:00,0.347
2024-11-21 17:25:00,0.329
2024-11-21 17:30:00,0.314
2024-11-21 17:35:00,0.299
2024-11-21 17:50:00,0.25
2024-11-21 17:55:00,0.234
2024-11-21 18:15:00,0.17
2024-11-21 18:20:00,0.154
2024-11-21 18:30:00,0.121
2024-11-21 18:35:00,0.105
2024-11-21 18:55:00,0.042
2024-11-21 19:00:00,0.03
2024-11-21 19:10:00,0.003
2024-11-21 19:15:00,-0.008
2024-11-21 19:30:00,-0.043
2024-11-21 19:45:00,-0.06
2024-11-21 19:50:00,-0.062
2024-11-21 20:05:00,-0.059
2024-11-21 20:10:00,-0.055
2024-11-21 20:15:00,-0.049
2024-11-21 20:35:00,0.012
2024-11-21 20:40:00,0.032
2024-11-21 20:45:00,0.058
2024-11-21 21:00:00,0.148
2024-11-21 21:05:00,0.177
2024-11-21 21:10:00,0.206
2024-11-21 21:15:00,0.234
2024-11-21 21:25:00,0.279
2024-11-21 21:30:00,0.301
2024-11-21 21:40:00,0.337
2024-11-21 21:45:00,0.35
2024-11-21 21:55:00,0.383
2024-11-21 22:00:00,0.394
2024-11-21 22:05:00,0.41
2024-11-21 22:10:00,0.424
2024-11-21 22:15:00,0.439
2024-11-21 22:20:00,0.455
2024-11-21 22:25:00,0.47
2024-11-21 22:45:00,0.528
2024-11-21 22:50:00,0.54
2024-11-21 22:55:00,0.554
2024-11-21 23:00:00,0.559
2024-11-21 23:10:00,0.584
2024-11-21 23:15:00,0.594
2024-11-21 23:30:00,0.627
2024-11-21 23:45:00,0.635
2024-11-21 23:55:00,0.66
2024-11-22 00:00:00,0.667
2024-11-22 00:10:00,0.676
2024-11-22 00:20:00,0.683
2024-11-22 00:25:00,0.694
2024-11-22 00:30:00,0.695
2024-11-22 00:35:00,0.706
2024-11-22 00:50:00,0.73
2024-11-22 01:00:00,0.749
2024-11-22 01:05:00,0.762
2024-11-22 01:10:00,0.773
2024-11-22 01:20:00,0.801
2024-11-22 01:30:00,0.831
2024-11-22 01:35:00,0.849
2024-11-22 01:50:00,0.901
2024-11-22 02:00:00,0.932
2024-11-22 02:15:00,0.966
2024-11-22 02:20:00,0.974
2024-11-22 02:55:00,0.965
2024-11-22 03:00:00,0.96
2024-11-22 03:05:00,0.953
2024-11-22 03:10:00,0.947
2024-11-22 03:35:00,0.907
2024-11-22 03:45:00,0.885
2024-11-22 03:55:00,0.87
2024-11-22 04:00:00,0.863
