Datetime,observed
2024-09-28 04:10:00,0.628
2024-11-18 18:20:00,-0.087
2024-11-18 19:30:00,-0.299
2024-11-18 22:00:00,0.683
2024-11-18 23:25:00,1.579
2024-11-19 00:50:00,1.777
2024-11-19 03:00:00,1.211
2024-11-19 04:20:00,0.754
2024-11-19 05:30:00,0.417
2024-11-19 10:30:00,0.353
2024-11-19 11:50:00,1.033
2024-11-19 13:00:00,1.338
2024-11-19 15:30:00,0.807
2024-11-19 18:00:00,0.137
2024-11-19 20:30:00,-0.219
2024-11-20 02:50:00,1.439
2024-11-20 04:00:00,1.043
2024-11-20 05:35:00,0.558
2024-11-20 06:30:00,0.332
2024-11-20 09:00:00,-0.166
2024-11-20 11:30:00,0.419
2024-11-20 14:00:00,1.22
2024-11-20 16:30:00,0.691
2024-11-20 19:00:00,0.096
2024-11-20 21:30:00,-0.009
2024-11-21 00:00:00,0.819
2024-11-21 01:20:00,1.373
2024-11-21 02:55:00,1.439
2024-11-21 07:05:00,0.37
2024-11-21 07:10:00,0.353
2024-11-21 07:15:00,0.334
2024-11-21 07:25:00,0.297
2024-11-21 07:30:00,0.272
2024-11-21 07:35:00,0.257
2024-11-21 07:40:00,0.242
2024-11-21 07:45:00,0.226
2024-11-21 07:50:00,0.21
2024-11-21 07:55:00,0.193
2024-11-21 08:00:00,0.175
2024-11-21 08:05:00,0.16
2024-11-21 08:10:00,0.142
2024-11-21 08:15:00,0.125
2024-11-21 08:20:00,0.108
2024-11-21 08:25:00,0.093
2024-11-21 08:30:00,0.076
2024-11-21 08:35:00,0.061
2024-11-21 08:40:00,0.045
2024-11-21 08:45:00,0.03
2024-11-21 08:50:00,0.015
2024-11-21 08:55:00,0.001
2024-11-21 09:00:00,-0.013
2024-11-21 09:05:00,-0.032
2024-11-21 09:10:00,-0.04
2024-11-21 09:15:00,-0.057
2024-11-21 09:20:00,-0.065
2024-11-21 09:25:00,-0.076
2024-11-21 09:30:00,-0.093
2024-11-21 09:35:00,-0.097
2024-11-21 09:40:00,-0.105
2024-11-21 09:45:00,-0.113
2024-11-21 09:50:00,-0.118
2024-11-21 09:55:00,-0.124
2024-11-21 10:00:00,-0.126
2024-11-21 10:05:00,-0.127
2024-11-21 10:10:00,-0.131
2024-11-21 10:15:00,-0.122
2024-11-21 10:20:00,-0.111
2024-11-21 10:25:00,-0.101
2024-11-21 10:30:00,-0.085
2024-11-21 10:35:00,-0.067
2024-11-21 10:40:00,-0.045
2024-11-21 10:45:00,-0.021
2024-11-21 10:50:00,0.004
2024-11-21 10:55:00,0.031
2024-11-21 11:00:00,0.054
2024-11-21 11:05:00,0.071
2024-11-21 11:10:00,0.106
2024-11-21 11:15:00,0.129
2024-11-21 11:20:00,0.148
2024-11-21 11:25:00,0.168
2024-11-21 11:30:00,0.186
2024-11-21 11:40:00,0.218
2024-11-21 11:45:00,0.228
2024-11-21 11:55:00,0.264
2024-11-21 12:00:00,0.281
2024-11-21 12:05:00,0.297
2024-11-21 12:10:00,0.318
2024-11-21 12:15:00,0.342
2024-11-21 12:20:00,0.358
2024-11-21 12:30:00,0.416
2024-11-21 12:35:00,0.443
2024-11-21 12:40:00,0.476
2024-11-21 12:45:00,0.508
2024-11-21 12:50:00,0.541
2024-11-21 12:55:00,0.575
2024-11-21 13:00:00,0.603
2024-11-21 13:10:00,0.676
2024-11-21 13:15:00,0.707
2024-11-21 13:20:00,0.733
2024-11-21 13:30:00,0.795
2024-11-21 13:40:00,0.851
2024-11-21 13:45:00,0.878
2024-11-21 13:55:00,0.928
2024-11-21 14:00:00,0.948
2024-11-21 14:05:00,0.961
2024-11-21 14:10:00,0.982
2024-11-21 14:15:00,0.994
2024-11-21 14:20:00,1.006
2024-11-21 14:25:00,1.014
2024-11-21 14:35:00,1.034
2024-11-21 14:40:00,1.039
2024-11-21 14:45:00,1.042
2024-11-21 14:50:00,1.048
2024-11-21 14:55:00,1.047
2024-11-21 15:00:00,1.04
2024-11-21 15:05:00,1.04
2024-11-21 15:15:00,1.026
2024-11-21 15:20:00,1.023
2024-11-21 15:25:00,1.013
2024-11-21 15:30:00,1.004
2024-11-21 15:35:00,0.991
2024-11-21 15:40:00,0.984
