Datetime,observed
2024-09-28 04:10:00,0.983
2024-11-18 19:30:00,0.028
2024-11-18 21:05:00,0.673
2024-11-18 22:00:00,0.966
2024-11-19 00:30:00,2.023
2024-11-19 03:00:00,1.572
2024-11-19 05:30:00,0.745
2024-11-19 08:00:00,0.162
2024-11-19 08:35:00,0.124
2024-11-19 10:30:00,0.719
2024-11-19 13:00:00,1.585
2024-11-19 13:35:00,1.582
2024-11-19 15:30:00,1.117
2024-11-19 17:55:00,0.47
2024-11-19 18:00:00,0.451
2024-11-19 20:30:00,0.156
2024-11-20 00:35:00,1.745
2024-11-20 01:30:00,1.904
2024-11-20 04:35:00,1.195
2024-11-20 06:30:00,0.662
2024-11-20 07:05:00,0.522
2024-11-20 09:00:00,0.169
2024-11-20 13:05:00,1.335
2024-11-20 14:00:00,1.476
2024-11-20 16:30:00,1.001
2024-11-20 17:05:00,0.848
2024-11-20 19:00:00,0.406
2024-11-20 21:30:00,0.368
2024-11-20 23:05:00,0.818
2024-11-21 00:00:00,1.063
2024-11-21 02:30:00,1.758
2024-11-21 07:05:00,0.685
2024-11-21 07:10:00,0.662
2024-11-21 07:15:00,0.651
2024-11-21 07:20:00,0.633
2024-11-21 07:25:00,0.613
2024-11-21 07:30:00,0.598
2024-11-21 07:35:00,0.579
2024-11-21 07:40:00,0.559
2024-11-21 07:45:00,0.539
2024-11-21 07:50:00,0.524
2024-11-21 07:55:00,0.511
2024-11-21 08:00:00,0.492
2024-11-21 08:05:00,0.474
2024-11-21 08:10:00,0.457
2024-11-21 08:15:00,0.444
2024-11-21 08:20:00,0.422
2024-11-21 08:25:00,0.404
2024-11-21 08:30:00,0.393
2024-11-21 08:35:00,0.372
2024-11-21 08:40:00,0.361
2024-11-21 08:45:00,0.345
2024-11-21 08:50:00,0.33
2024-11-21 08:55:00,0.317
2024-11-21 09:00:00,0.303
2024-11-21 09:05:00,0.29
2024-11-21 09:10:00,0.277
2024-11-21 09:15:00,0.265
2024-11-21 09:20:00,0.252
2024-11-21 09:25:00,0.244
2024-11-21 09:30:00,0.237
2024-11-21 09:35:00,0.229
2024-11-21 09:40:00,0.223
2024-11-21 09:45:00,0.219
2024-11-21 09:50:00,0.217
2024-11-21 09:55:00,0.218
2024-11-21 10:00:00,0.215
2024-11-21 10:05:00,0.222
