Datetime,observed
2024-09-28 04:00:00,0.885
2024-11-18 19:30:00,0.718
2024-11-18 21:00:00,0.934
2024-11-18 22:00:00,0.885
2024-11-19 00:30:00,0.281
2024-11-19 03:00:00,-0.138
2024-11-19 05:30:00,-0.467
2024-11-19 08:00:00,0.504
2024-11-19 08:40:00,0.631
2024-11-19 10:30:00,0.608
2024-11-19 13:00:00,-0.008
2024-11-19 16:55:00,-0.633
2024-11-19 18:00:00,-0.278
2024-11-19 20:30:00,0.713
2024-11-19 23:00:00,0.789
2024-11-20 01:30:00,0.209
2024-11-20 04:00:00,-0.202
2024-11-20 06:30:00,-0.328
2024-11-20 09:00:00,0.505
2024-11-20 11:30:00,0.501
2024-11-20 14:00:00,-0.065
2024-11-20 16:30:00,-0.492
2024-11-20 19:00:00,-0.042
2024-11-20 21:30:00,0.712
2024-11-21 00:00:00,0.682
2024-11-21 02:30:00,0.154
2024-11-21 05:00:00,-0.232
2024-11-21 07:30:00,-0.201
2024-11-21 10:00:00,0.445
2024-11-21 11:30:00,0.507
2024-11-21 11:55:00,0.467
2024-11-21 12:05:00,0.444
2024-11-21 12:15:00,0.416
2024-11-21 12:20:00,0.409
2024-11-21 12:55:00,0.301
2024-11-21 13:00:00,0.284
2024-11-21 13:05:00,0.266
2024-11-21 13:30:00,0.182
2024-11-21 13:40:00,0.15
2024-11-21 13:55:00,0.099
2024-11-21 14:35:00,-0.029
2024-11-21 14:40:00,-0.045
2024-11-21 14:50:00,-0.076
2024-11-21 15:20:00,-0.169
2024-11-21 15:40:00,-0.222
2024-11-21 15:45:00,-0.234
2024-11-21 15:55:00,-0.262
2024-11-21 16:25:00,-0.331
2024-11-21 16:30:00,-0.34
2024-11-21 16:35:00,-0.353
2024-11-21 16:50:00,-0.393
2024-11-21 17:10:00,-0.435
2024-11-21 17:35:00,-0.476
2024-11-21 17:40:00,-0.482
2024-11-21 17:45:00,-0.485
2024-11-21 17:55:00,-0.488
2024-11-21 18:00:00,-0.486
2024-11-21 18:10:00,-0.482
2024-11-21 18:30:00,-0.432
2024-11-21 18:35:00,-0.412
2024-11-21 18:50:00,-0.35
2024-11-21 19:05:00,-0.258
2024-11-21 19:10:00,-0.229
2024-11-21 19:15:00,-0.189
2024-11-21 19:30:00,-0.086
2024-11-21 19:40:00,-0.017
2024-11-21 19:45:00,0.015
2024-11-21 19:55:00,0.082
2024-11-21 20:15:00,0.204
2024-11-21 20:25:00,0.258
2024-11-21 20:40:00,0.344
2024-11-21 20:50:00,0.388
2024-11-21 21:05:00,0.456
2024-11-21 21:15:00,0.496
2024-11-21 21:55:00,0.618
2024-11-21 22:00:00,0.629
2024-11-21 22:10:00,0.647
2024-11-21 22:15:00,0.657
2024-11-21 22:20:00,0.666
2024-11-21 22:40:00,0.688
2024-11-21 22:50:00,0.694
2024-11-21 23:15:00,0.707
2024-11-21 23:25:00,0.711
2024-11-21 23:40:00,0.709
2024-11-21 23:45:00,0.705
2024-11-21 23:55:00,0.704
2024-11-22 00:00:00,0.702
2024-11-22 00:55:00,0.604
