Datetime,observed
2024-09-28 04:15:00,1.497
2024-11-18 17:05:00,1.42
2024-11-18 22:00:00,0.9
2024-11-19 00:30:00,0.224
2024-11-19 04:20:00,0.544
2024-11-19 05:30:00,1.047
2024-11-19 06:50:00,1.394
2024-11-19 08:00:00,1.33
2024-11-19 08:05:00,1.322
2024-11-19 11:50:00,0.064
2024-11-19 13:00:00,-0.117
2024-11-19 18:00:00,1.399
2024-11-19 20:30:00,1.588
2024-11-19 20:45:00,1.538
2024-11-19 23:00:00,0.797
2024-11-20 01:20:00,0.278
2024-11-20 01:30:00,0.243
2024-11-20 04:25:00,0.318
2024-11-20 06:30:00,1.058
2024-11-20 09:00:00,1.193
2024-11-20 09:05:00,1.171
2024-11-20 11:45:00,0.336
2024-11-20 14:00:00,-0.002
2024-11-20 14:20:00,-0.015
2024-11-20 16:30:00,0.605
2024-11-20 16:45:00,0.714
2024-11-20 19:00:00,1.377
2024-11-20 19:05:00,1.393
2024-11-20 22:45:00,1.126
2024-11-21 00:00:00,0.746
2024-11-21 00:15:00,0.689
2024-11-21 01:15:00,0.497
2024-11-21 02:30:00,0.282
2024-11-21 02:35:00,0.272
2024-11-21 06:15:00,0.687
2024-11-21 07:30:00,1.006
2024-11-21 07:55:00,1.081
2024-11-21 08:35:00,1.159
2024-11-21 08:45:00,1.165
2024-11-21 08:50:00,1.162
2024-11-21 08:55:00,1.16
2024-11-21 09:00:00,1.15
2024-11-21 09:05:00,1.152
2024-11-21 09:10:00,1.154
2024-11-21 09:20:00,1.141
2024-11-21 09:25:00,1.132
2024-11-21 09:30:00,1.122
2024-11-21 09:35:00,1.111
2024-11-21 09:40:00,1.098
2024-11-21 09:55:00,1.075
2024-11-21 10:00:00,1.057
2024-11-21 10:10:00,1.014
2024-11-21 10:15:00,0.997
2024-11-21 10:20:00,0.982
2024-11-21 10:25:00,0.959
2024-11-21 10:35:00,0.91
2024-11-21 10:45:00,0.871
2024-11-21 10:50:00,0.848
2024-11-21 10:55:00,0.828
2024-11-21 11:00:00,0.804
2024-11-21 11:05:00,0.778
2024-11-21 11:10:00,0.751
2024-11-21 11:15:00,0.728
2024-11-21 11:20:00,0.712
2024-11-21 11:25:00,0.693
2024-11-21 11:35:00,0.651
2024-11-21 11:45:00,0.611
2024-11-21 11:50:00,0.589
2024-11-21 12:00:00,0.545
2024-11-21 12:05:00,0.519
