Datetime,observed
2024-09-28 04:10:00,1.039
2024-11-18 19:35:00,0.946
2024-11-18 21:20:00,1.786
2024-11-18 22:50:00,1.788
2024-11-19 00:35:00,0.766
2024-11-19 03:05:00,-0.702
2024-11-19 05:35:00,-1.172
2024-11-19 07:20:00,0.134
2024-11-19 08:05:00,0.53
2024-11-19 11:25:00,1.089
2024-11-19 13:05:00,0.273
2024-11-19 13:55:00,-0.136
2024-11-19 15:35:00,-0.861
2024-11-19 18:05:00,-0.451
2024-11-19 22:20:00,1.704
2024-11-19 23:05:00,1.79
2024-11-20 01:35:00,0.586
2024-11-20 04:05:00,-0.736
2024-11-20 05:55:00,-1.117
2024-11-20 06:35:00,-0.881
2024-11-20 09:05:00,0.504
2024-11-20 09:55:00,0.707
2024-11-20 11:35:00,1.161
2024-11-20 14:05:00,0.232
2024-11-20 14:55:00,-0.162
2024-11-20 16:35:00,-0.784
2024-11-20 19:05:00,-0.274
2024-11-20 21:20:00,0.76
2024-11-20 21:35:00,0.847
2024-11-21 00:05:00,1.575
2024-11-21 04:15:00,-0.356
2024-11-21 05:05:00,-0.654
2024-11-21 07:10:00,-0.912
2024-11-21 07:15:00,-0.89
2024-11-21 07:20:00,-0.862
2024-11-21 07:25:00,-0.824
2024-11-21 07:30:00,-0.785
2024-11-21 07:35:00,-0.746
2024-11-21 07:40:00,-0.705
2024-11-21 07:45:00,-0.661
2024-11-21 07:50:00,-0.62
2024-11-21 07:55:00,-0.578
2024-11-21 08:00:00,-0.536
2024-11-21 08:05:00,-0.49
2024-11-21 08:10:00,-0.443
2024-11-21 08:20:00,-0.344
2024-11-21 08:25:00,-0.285
2024-11-21 08:30:00,-0.244
2024-11-21 08:35:00,-0.195
2024-11-21 08:40:00,-0.147
2024-11-21 08:45:00,-0.101
2024-11-21 08:50:00,-0.052
2024-11-21 08:55:00,-0.015
2024-11-21 09:00:00,0.024
2024-11-21 09:05:00,0.062
2024-11-21 09:10:00,0.105
2024-11-21 09:15:00,0.13
2024-11-21 09:20:00,0.158
2024-11-21 09:25:00,0.19
2024-11-21 09:30:00,0.22
2024-11-21 09:35:00,0.254
2024-11-21 09:40:00,0.283
2024-11-21 09:45:00,0.311
2024-11-21 09:50:00,0.335
2024-11-21 09:55:00,0.358
2024-11-21 10:00:00,0.38
2024-11-21 10:05:00,0.398
2024-11-21 10:10:00,0.422
2024-11-21 10:15:00,0.435
2024-11-21 10:20:00,0.458
2024-11-21 10:25:00,0.481
2024-11-21 10:30:00,0.5
2024-11-21 10:35:00,0.517
2024-11-21 10:40:00,0.537
2024-11-21 10:45:00,0.565
2024-11-21 10:50:00,0.583
2024-11-21 10:55:00,0.61
2024-11-21 11:00:00,0.634
2024-11-21 11:05:00,0.661
2024-11-21 11:10:00,0.689
2024-11-21 11:15:00,0.718
2024-11-21 11:20:00,0.757
2024-11-21 11:25:00,0.79
2024-11-21 11:30:00,0.827
2024-11-21 11:35:00,0.857
2024-11-21 11:40:00,0.879
2024-11-21 11:45:00,0.911
2024-11-21 11:50:00,0.924
2024-11-21 11:55:00,0.939
2024-11-21 12:00:00,0.955
2024-11-21 12:05:00,0.964
2024-11-21 12:10:00,0.972
2024-11-21 12:15:00,0.981
2024-11-21 12:20:00,0.984
2024-11-21 12:25:00,0.987
2024-11-21 12:30:00,0.987
2024-11-21 12:35:00,0.987
2024-11-21 12:40:00,0.983
2024-11-21 12:45:00,0.976
2024-11-21 12:50:00,0.964
2024-11-21 12:55:00,0.952
2024-11-21 13:00:00,0.938
2024-11-21 13:05:00,0.915
2024-11-21 13:10:00,0.891
2024-11-21 13:15:00,0.875
2024-11-21 13:20:00,0.859
2024-11-21 13:25:00,0.837
2024-11-21 13:35:00,0.785
2024-11-21 13:40:00,0.756
2024-11-21 13:45:00,0.725
2024-11-21 13:50:00,0.704
2024-11-21 13:55:00,0.67
2024-11-21 14:00:00,0.637
2024-11-21 14:05:00,0.604
2024-11-21 14:10:00,0.573
2024-11-21 14:15:00,0.546
2024-11-21 14:20:00,0.515
2024-11-21 14:25:00,0.482
2024-11-21 14:30:00,0.45
2024-11-21 14:35:00,0.419
2024-11-21 14:40:00,0.391
2024-11-21 14:45:00,0.36
2024-11-21 14:50:00,0.325
2024-11-21 14:55:00,0.287
2024-11-21 15:00:00,0.252
2024-11-21 15:05:00,0.218
2024-11-21 15:10:00,0.179
2024-11-21 15:15:00,0.137
2024-11-21 15:20:00,0.11
2024-11-21 15:25:00,0.076
2024-11-21 15:30:00,0.041
2024-11-21 15:35:00,0.0
2024-11-21 15:40:00,-0.032
2024-11-21 15:45:00,-0.059
2024-11-21 15:50:00,-0.092
2024-11-21 15:55:00,-0.128
2024-11-21 16:00:00,-0.155
2024-11-21 16:05:00,-0.188
2024-11-21 16:10:00,-0.225
2024-11-21 16:15:00,-0.253
2024-11-21 16:20:00,-0.28
2024-11-21 16:25:00,-0.307
2024-11-21 16:30:00,-0.347
2024-11-21 16:35:00,-0.369
2024-11-21 16:40:00,-0.384
2024-11-21 16:45:00,-0.416
2024-11-21 16:50:00,-0.438
2024-11-21 16:55:00,-0.46
2024-11-21 17:00:00,-0.486
2024-11-21 17:05:00,-0.506
2024-11-21 17:10:00,-0.526
2024-11-21 17:15:00,-0.547
2024-11-21 17:20:00,-0.562
2024-11-21 17:25:00,-0.583
2024-11-21 17:30:00,-0.596
2024-11-21 17:35:00,-0.606
2024-11-21 17:40:00,-0.614
2024-11-21 17:45:00,-0.625
2024-11-21 17:50:00,-0.634
2024-11-21 17:55:00,-0.641
2024-11-21 18:00:00,-0.643
2024-11-21 18:05:00,-0.647
2024-11-21 18:10:00,-0.646
2024-11-21 18:15:00,-0.641
2024-11-21 18:20:00,-0.63
2024-11-21 18:25:00,-0.617
2024-11-21 18:35:00,-0.587
2024-11-21 18:40:00,-0.569
2024-11-21 18:45:00,-0.547
2024-11-21 18:50:00,-0.529
2024-11-21 18:55:00,-0.504
2024-11-21 19:00:00,-0.487
2024-11-21 19:05:00,-0.467
2024-11-21 19:15:00,-0.422
2024-11-21 19:20:00,-0.397
2024-11-21 19:25:00,-0.372
2024-11-21 19:30:00,-0.344
2024-11-21 19:35:00,-0.314
2024-11-21 19:40:00,-0.284
2024-11-21 19:45:00,-0.251
2024-11-21 19:50:00,-0.221
2024-11-21 19:55:00,-0.189
2024-11-21 20:00:00,-0.155
2024-11-21 20:05:00,-0.122
2024-11-21 20:10:00,-0.089
2024-11-21 20:15:00,-0.059
2024-11-21 20:20:00,-0.021
2024-11-21 20:25:00,0.007
2024-11-21 20:30:00,0.043
2024-11-21 20:35:00,0.069
2024-11-21 20:40:00,0.104
2024-11-21 20:45:00,0.137
2024-11-21 20:50:00,0.169
2024-11-21 21:00:00,0.234
2024-11-21 21:05:00,0.261
2024-11-21 21:10:00,0.299
2024-11-21 21:15:00,0.327
2024-11-21 21:20:00,0.362
2024-11-21 21:25:00,0.389
2024-11-21 21:30:00,0.42
2024-11-21 21:35:00,0.442
2024-11-21 21:40:00,0.474
2024-11-21 21:45:00,0.504
2024-11-21 21:50:00,0.537
2024-11-21 21:55:00,0.561
2024-11-21 22:00:00,0.592
2024-11-21 22:05:00,0.619
2024-11-21 22:10:00,0.649
2024-11-21 22:15:00,0.683
2024-11-21 22:20:00,0.709
2024-11-21 22:25:00,0.737
2024-11-21 22:30:00,0.767
