Datetime,observed
2024-09-28 04:00:00,0.991
2024-11-18 18:50:00,1.368
2024-11-18 19:35:00,1.31
2024-11-18 22:00:00,0.241
2024-11-19 00:30:00,-0.607
2024-11-19 02:25:00,-0.816
2024-11-19 04:05:00,-0.003
2024-11-19 05:30:00,0.725
2024-11-19 07:25:00,0.969
2024-11-19 08:00:00,0.878
2024-11-19 09:10:00,0.45
2024-11-19 10:30:00,-0.098
2024-11-19 13:00:00,-0.815
2024-11-19 15:30:00,-0.343
2024-11-19 18:05:00,1.051
2024-11-19 20:40:00,1.092
2024-11-19 23:00:00,0.131
2024-11-20 00:05:00,-0.253
2024-11-20 01:30:00,-0.608
2024-11-20 04:00:00,-0.432
2024-11-20 06:30:00,0.727
2024-11-20 06:35:00,0.745
2024-11-20 11:30:00,-0.168
2024-11-20 14:00:00,-0.78
2024-11-20 15:50:00,-0.435
2024-11-20 16:30:00,-0.049
2024-11-20 17:25:00,0.469
2024-11-20 19:00:00,1.025
2024-11-20 21:30:00,0.943
2024-11-21 00:00:00,0.036
2024-11-21 02:30:00,-0.57
2024-11-21 02:35:00,-0.579
2024-11-21 05:05:00,-0.171
2024-11-21 07:35:00,0.651
2024-11-21 08:05:00,0.698
2024-11-21 08:15:00,0.704
2024-11-21 08:25:00,0.718
2024-11-21 08:30:00,0.711
2024-11-21 09:00:00,0.695
2024-11-21 09:05:00,0.686
2024-11-21 09:10:00,0.677
2024-11-21 09:15:00,0.665
2024-11-21 09:20:00,0.649
2024-11-21 09:25:00,0.627
2024-11-21 09:30:00,0.634
2024-11-21 09:40:00,0.592
2024-11-21 09:45:00,0.571
2024-11-21 10:15:00,0.458
2024-11-21 10:20:00,0.431
2024-11-21 10:30:00,0.39
2024-11-21 10:35:00,0.358
2024-11-21 10:40:00,0.332
2024-11-21 10:45:00,0.32
2024-11-21 10:55:00,0.268
2024-11-21 11:05:00,0.212
2024-11-21 11:10:00,0.195
2024-11-21 11:15:00,0.17
2024-11-21 11:20:00,0.144
2024-11-21 11:25:00,0.127
2024-11-21 11:30:00,0.098
2024-11-21 11:35:00,0.066
2024-11-21 11:40:00,0.049
2024-11-21 11:50:00,0.0
2024-11-21 11:55:00,-0.025
2024-11-21 12:00:00,-0.048
2024-11-21 12:10:00,-0.094
2024-11-21 12:15:00,-0.114
2024-11-21 12:25:00,-0.16
2024-11-21 12:30:00,-0.18
2024-11-21 12:35:00,-0.2
2024-11-21 12:55:00,-0.285
2024-11-21 13:05:00,-0.326
2024-11-21 13:10:00,-0.345
2024-11-21 13:15:00,-0.366
2024-11-21 13:20:00,-0.385
2024-11-21 13:25:00,-0.421
2024-11-21 13:30:00,-0.423
2024-11-21 14:00:00,-0.529
2024-11-21 14:15:00,-0.574
2024-11-21 14:20:00,-0.586
2024-11-21 14:30:00,-0.609
2024-11-21 14:35:00,-0.621
2024-11-21 14:55:00,-0.656
2024-11-21 15:00:00,-0.656
2024-11-21 15:05:00,-0.659
2024-11-21 15:25:00,-0.632
2024-11-21 15:40:00,-0.588
2024-11-21 15:45:00,-0.564
2024-11-21 15:50:00,-0.54
2024-11-21 16:00:00,-0.485
2024-11-21 16:05:00,-0.449
2024-11-21 16:10:00,-0.413
2024-11-21 16:15:00,-0.382
2024-11-21 16:20:00,-0.355
2024-11-21 16:30:00,-0.29
2024-11-21 16:50:00,-0.143
2024-11-21 17:00:00,-0.063
2024-11-21 17:15:00,0.039
2024-11-21 17:20:00,0.089
2024-11-21 17:25:00,0.128
2024-11-21 17:40:00,0.245
2024-11-21 17:45:00,0.283
2024-11-21 17:50:00,0.323
2024-11-21 18:10:00,0.462
2024-11-21 18:15:00,0.498
2024-11-21 18:20:00,0.536
2024-11-21 18:25:00,0.569
2024-11-21 18:30:00,0.596
2024-11-21 18:35:00,0.63
2024-11-21 18:45:00,0.697
2024-11-21 19:00:00,0.78
2024-11-21 19:05:00,0.802
2024-11-21 19:15:00,0.844
2024-11-21 19:20:00,0.867
2024-11-21 19:25:00,0.88
2024-11-21 19:30:00,0.896
2024-11-21 19:40:00,0.921
2024-11-21 19:45:00,0.936
2024-11-21 19:50:00,0.947
2024-11-21 19:55:00,0.96
2024-11-21 20:00:00,0.966
2024-11-21 20:05:00,0.974
2024-11-21 20:10:00,0.969
2024-11-21 20:20:00,0.987
2024-11-21 20:30:00,1.002
2024-11-21 20:35:00,1.0
2024-11-21 20:40:00,0.997
2024-11-21 20:55:00,0.999
2024-11-21 21:05:00,0.98
2024-11-21 21:15:00,0.978
2024-11-21 21:35:00,0.951
2024-11-21 21:40:00,0.941
2024-11-21 21:45:00,0.933
2024-11-21 21:55:00,0.913
2024-11-21 22:00:00,0.883
2024-11-21 22:05:00,0.875
2024-11-21 22:15:00,0.849
2024-11-21 22:25:00,0.804
2024-11-21 22:40:00,0.736
2024-11-21 23:00:00,0.636
2024-11-21 23:05:00,0.601
2024-11-21 23:10:00,0.572
2024-11-21 23:15:00,0.544
2024-11-21 23:20:00,0.524
2024-11-21 23:30:00,0.466
2024-11-21 23:35:00,0.433
2024-11-21 23:40:00,0.389
2024-11-21 23:45:00,0.377
2024-11-22 00:00:00,0.291
2024-11-22 00:10:00,0.223
2024-11-22 00:20:00,0.183
2024-11-22 00:25:00,0.156
2024-11-22 00:30:00,0.124
2024-11-22 00:35:00,0.093
2024-11-22 00:40:00,0.072
2024-11-22 00:50:00,0.019
2024-11-22 00:55:00,-0.01
2024-11-22 01:05:00,-0.056
2024-11-22 01:10:00,-0.081
2024-11-22 01:20:00,-0.116
2024-11-22 01:35:00,-0.185
2024-11-22 01:45:00,-0.231
2024-11-22 01:50:00,-0.252
2024-11-22 01:55:00,-0.278
2024-11-22 02:00:00,-0.29
2024-11-22 02:05:00,-0.309
2024-11-22 02:10:00,-0.334
2024-11-22 02:15:00,-0.332
2024-11-22 02:25:00,-0.388
2024-11-22 02:35:00,-0.419
2024-11-22 02:55:00,-0.482
2024-11-22 03:10:00,-0.521
2024-11-22 03:25:00,-0.553
2024-11-22 03:40:00,-0.581
2024-11-22 03:45:00,-0.584
2024-11-22 03:50:00,-0.592
2024-11-22 04:05:00,-0.589
2024-11-22 04:10:00,-0.585
2024-11-22 04:20:00,-0.582
2024-11-22 04:25:00,-0.578
2024-11-22 04:30:00,-0.569
2024-11-22 04:40:00,-0.537
2024-11-22 04:45:00,-0.523
2024-11-22 05:00:00,-0.469
2024-11-22 05:10:00,-0.419
2024-11-22 05:15:00,-0.396
2024-11-22 05:30:00,-0.314
2024-11-22 05:40:00,-0.254
2024-11-22 05:50:00,-0.194
2024-11-22 05:55:00,-0.158
2024-11-22 06:00:00,-0.135
2024-11-22 06:05:00,-0.107
2024-11-22 06:10:00,-0.081
2024-11-22 06:15:00,-0.046
2024-11-22 06:20:00,-0.026
2024-11-22 06:25:00,0.0
2024-11-22 06:35:00,0.06
2024-11-22 06:40:00,0.091
2024-11-22 06:45:00,0.116
2024-11-22 06:50:00,0.141
