Datetime,observed
2024-09-28 04:00:00,2.007
2024-11-18 19:30:00,2.162
2024-11-18 22:00:00,1.796
2024-11-19 00:30:00,0.52
2024-11-19 03:50:00,-0.138
2024-11-19 05:30:00,0.138
2024-11-19 07:45:00,1.77
2024-11-19 08:00:00,1.844
2024-11-19 08:05:00,1.862
2024-11-19 12:20:00,0.44
2024-11-19 13:00:00,0.182
2024-11-19 15:30:00,-0.266
2024-11-19 18:00:00,0.709
2024-11-19 20:00:00,1.975
2024-11-19 20:30:00,2.048
2024-11-19 22:20:00,1.808
2024-11-19 23:00:00,1.582
2024-11-20 01:30:00,0.383
2024-11-20 01:35:00,0.346
2024-11-20 06:30:00,0.477
2024-11-20 07:20:00,1.132
2024-11-20 09:00:00,1.751
2024-11-20 11:30:00,1.17
2024-11-20 12:15:00,0.798
2024-11-20 14:00:00,0.114
2024-11-20 16:30:00,-0.215
2024-11-20 19:00:00,1.01
2024-11-20 19:05:00,1.072
2024-11-21 00:00:00,1.357
2024-11-21 00:05:00,1.321
2024-11-21 05:00:00,-0.025
2024-11-21 05:45:00,0.006
2024-11-21 07:30:00,0.696
2024-11-21 08:10:00,1.085
2024-11-21 08:15:00,1.137
2024-11-21 08:30:00,1.247
2024-11-21 08:40:00,1.32
2024-11-21 08:45:00,1.339
2024-11-21 08:50:00,1.378
2024-11-21 09:05:00,1.45
2024-11-21 09:10:00,1.478
2024-11-21 09:35:00,1.562
2024-11-21 09:40:00,1.576
2024-11-21 09:45:00,1.584
2024-11-21 10:00:00,1.601
2024-11-21 10:15:00,1.597
2024-11-21 10:30:00,1.58
2024-11-21 10:35:00,1.567
2024-11-21 10:50:00,1.532
2024-11-21 11:05:00,1.477
2024-11-21 11:10:00,1.456
2024-11-21 11:15:00,1.434
2024-11-21 11:20:00,1.41
2024-11-21 11:30:00,1.361
2024-11-21 11:45:00,1.279
2024-11-21 11:50:00,1.247
2024-11-21 11:55:00,1.216
2024-11-21 12:30:00,0.973
2024-11-21 12:35:00,0.941
2024-11-21 12:45:00,0.872
2024-11-21 12:50:00,0.837
2024-11-21 13:10:00,0.711
2024-11-21 13:15:00,0.679
2024-11-21 13:35:00,0.548
2024-11-21 13:40:00,0.519
2024-11-21 13:50:00,0.461
2024-11-21 14:05:00,0.381
2024-11-21 14:15:00,0.329
2024-11-21 14:20:00,0.3
2024-11-21 14:30:00,0.251
2024-11-21 14:35:00,0.226
2024-11-21 14:40:00,0.201
2024-11-21 14:45:00,0.176
2024-11-21 14:50:00,0.154
2024-11-21 15:00:00,0.114
2024-11-21 15:05:00,0.097
2024-11-21 15:10:00,0.079
2024-11-21 15:25:00,0.031
2024-11-21 15:35:00,0.003
2024-11-21 15:40:00,-0.01
2024-11-21 15:45:00,-0.023
2024-11-21 15:50:00,-0.036
2024-11-21 16:15:00,-0.083
2024-11-21 16:30:00,-0.094
2024-11-21 16:45:00,-0.103
2024-11-21 17:00:00,-0.111
2024-11-21 17:10:00,-0.108
2024-11-21 17:15:00,-0.103
2024-11-21 17:20:00,-0.099
2024-11-21 17:30:00,-0.082
2024-11-21 17:35:00,-0.069
2024-11-21 17:40:00,-0.056
2024-11-21 17:50:00,-0.02
2024-11-21 18:05:00,0.06
2024-11-21 18:15:00,0.133
2024-11-21 18:20:00,0.172
2024-11-21 18:30:00,0.258
2024-11-21 18:45:00,0.405
2024-11-21 19:00:00,0.566
2024-11-21 19:05:00,0.618
2024-11-21 19:15:00,0.725
2024-11-21 19:30:00,0.889
2024-11-21 19:40:00,0.993
2024-11-21 19:55:00,1.141
2024-11-21 20:05:00,1.231
2024-11-21 20:15:00,1.321
2024-11-21 20:20:00,1.363
2024-11-21 20:25:00,1.405
2024-11-21 20:35:00,1.485
2024-11-21 20:45:00,1.559
2024-11-21 21:10:00,1.699
2024-11-21 21:15:00,1.72
2024-11-21 21:20:00,1.741
2024-11-21 21:30:00,1.771
2024-11-21 21:35:00,1.786
2024-11-21 21:40:00,1.795
2024-11-21 21:50:00,1.81
2024-11-21 22:10:00,1.817
2024-11-21 22:15:00,1.815
2024-11-21 22:20:00,1.812
2024-11-21 22:30:00,1.801
2024-11-21 22:35:00,1.794
2024-11-21 22:40:00,1.785
2024-11-21 22:45:00,1.773
2024-11-21 22:50:00,1.762
2024-11-21 23:00:00,1.737
2024-11-21 23:05:00,1.722
2024-11-21 23:15:00,1.694
2024-11-21 23:25:00,1.662
2024-11-21 23:30:00,1.646
2024-11-21 23:45:00,1.59
2024-11-22 00:10:00,1.477
2024-11-22 00:15:00,1.45
2024-11-22 00:20:00,1.425
2024-11-22 00:35:00,1.338
2024-11-22 00:50:00,1.236
2024-11-22 01:00:00,1.175
2024-11-22 01:15:00,1.074
2024-11-22 01:35:00,0.929
2024-11-22 01:45:00,0.863
2024-11-22 01:55:00,0.801
2024-11-22 02:00:00,0.769
2024-11-22 02:25:00,0.598
2024-11-22 02:50:00,0.464
2024-11-22 03:15:00,0.332
2024-11-22 03:20:00,0.308
2024-11-22 03:30:00,0.265
2024-11-22 03:45:00,0.202
2024-11-22 03:50:00,0.175
2024-11-22 04:00:00,0.153
2024-11-22 04:15:00,0.111
2024-11-22 04:20:00,0.096
2024-11-22 04:30:00,0.073
2024-11-22 04:35:00,0.059
2024-11-22 04:40:00,0.045
2024-11-22 04:50:00,0.031
2024-11-22 04:55:00,0.034
2024-11-22 05:00:00,0.028
2024-11-22 05:10:00,0.027
2024-11-22 05:15:00,0.024
2024-11-22 05:20:00,0.017
2024-11-22 05:45:00,0.008
2024-11-22 06:00:00,0.02
2024-11-22 06:10:00,0.026
2024-11-22 06:25:00,0.041
2024-11-22 06:40:00,0.061
2024-11-22 06:55:00,0.101
2024-11-22 07:05:00,0.136
2024-11-22 07:10:00,0.159
2024-11-22 07:15:00,0.177
2024-11-22 07:35:00,0.305
2024-11-22 07:45:00,0.369
2024-11-22 08:25:00,0.701
2024-11-22 08:30:00,0.744
2024-11-22 08:35:00,0.776
2024-11-22 08:40:00,0.818
2024-11-22 08:45:00,0.856
2024-11-22 08:50:00,0.893
2024-11-22 09:05:00,0.994
2024-11-22 09:10:00,1.027
2024-11-22 09:20:00,1.095
2024-11-22 09:30:00,1.157
2024-11-22 09:35:00,1.185
2024-11-22 09:50:00,1.257
2024-11-22 10:05:00,1.314
2024-11-22 10:15:00,1.354
2024-11-22 10:30:00,1.39
2024-11-22 10:40:00,1.402
2024-11-22 10:55:00,1.418
2024-11-22 11:10:00,1.416
2024-11-22 11:20:00,1.407
2024-11-22 11:25:00,1.402
2024-11-22 11:45:00,1.365
2024-11-22 11:50:00,1.352
2024-11-22 12:00:00,1.325
2024-11-22 12:10:00,1.295
2024-11-22 12:20:00,1.261
2024-11-22 12:25:00,1.243
2024-11-22 12:40:00,1.18
2024-11-22 12:45:00,1.155
2024-11-22 13:00:00,1.085
2024-11-22 13:05:00,1.058
2024-11-22 13:10:00,1.031
2024-11-22 13:20:00,0.979
2024-11-22 13:35:00,0.892
2024-11-22 13:40:00,0.861
2024-11-22 13:45:00,0.832
2024-11-22 14:05:00,0.718
2024-11-22 14:15:00,0.661
2024-11-22 14:30:00,0.578
2024-11-22 14:35:00,0.551
2024-11-22 14:40:00,0.523
2024-11-22 14:45:00,0.497
2024-11-22 14:50:00,0.471
2024-11-22 14:55:00,0.446
2024-11-22 15:00:00,0.419
2024-11-22 15:25:00,0.309
2024-11-22 15:40:00,0.249
2024-11-22 15:45:00,0.231
2024-11-22 15:50:00,0.214
2024-11-22 15:55:00,0.193
2024-11-22 16:00:00,0.172
2024-11-22 16:20:00,0.11
2024-11-22 16:55:00,0.043
2024-11-22 17:00:00,0.038
2024-11-22 17:25:00,0.021
2024-11-22 17:40:00,0.014
2024-11-22 17:50:00,0.014
2024-11-22 17:55:00,0.015
2024-11-22 18:05:00,0.023
2024-11-22 18:10:00,0.034
2024-11-22 18:20:00,0.051
2024-11-22 18:25:00,0.063
2024-11-22 18:30:00,0.078
2024-11-22 18:40:00,0.114
2024-11-22 18:45:00,0.136
2024-11-22 18:50:00,0.157
2024-11-22 18:55:00,0.183
2024-11-22 19:25:00,0.377
2024-11-22 19:40:00,0.493
2024-11-22 19:55:00,0.616
2024-11-22 20:10:00,0.744
2024-11-22 20:15:00,0.777
2024-11-22 20:20:00,0.821
2024-11-22 20:30:00,0.916
2024-11-22 20:35:00,0.958
2024-11-22 21:05:00,1.197
2024-11-22 21:15:00,1.268
2024-11-22 21:30:00,1.364
2024-11-22 21:35:00,1.394
2024-11-22 21:40:00,1.422
2024-11-22 21:50:00,1.473
2024-11-22 22:05:00,1.538
2024-11-22 22:10:00,1.556
2024-11-22 22:20:00,1.587
2024-11-22 22:40:00,1.628
2024-11-22 22:45:00,1.633
2024-11-22 23:05:00,1.645
2024-11-22 23:10:00,1.645
2024-11-22 23:15:00,1.642
2024-11-22 23:20:00,1.638
2024-11-22 23:30:00,1.624
2024-11-22 23:35:00,1.618
2024-11-22 23:40:00,1.608
2024-11-22 23:45:00,1.598
2024-11-22 23:50:00,1.588
2024-11-22 23:55:00,1.576
2024-11-23 00:00:00,1.564
2024-11-23 00:10:00,1.535
2024-11-23 00:15:00,1.52
2024-11-23 00:20:00,1.503
2024-11-23 00:25:00,1.486
2024-11-23 00:50:00,1.389
2024-11-23 01:00:00,1.35
2024-11-23 01:15:00,1.278
2024-11-23 01:20:00,1.256
2024-11-23 01:25:00,1.232
2024-11-23 01:35:00,1.179
2024-11-23 02:10:00,0.983
2024-11-23 02:25:00,0.89
2024-11-23 02:35:00,0.833
2024-11-23 02:50:00,0.748
2024-11-23 03:00:00,0.684
2024-11-23 03:20:00,0.582
2024-11-23 03:35:00,0.501
2024-11-23 03:45:00,0.449
