Datetime,observed
2024-07-10 08:50:00,1.09
2024-11-18 18:55:00,0.176
2024-11-18 19:25:00,0.266
2024-11-18 22:00:00,1.072
2024-11-18 23:25:00,1.141
2024-11-19 01:15:00,0.99
2024-11-19 03:00:00,0.762
2024-11-19 05:20:00,0.534
2024-11-19 05:55:00,0.458
2024-11-19 08:00:00,0.306
2024-11-19 08:25:00,0.38
2024-11-19 10:55:00,0.981
2024-11-19 13:00:00,0.912
2024-11-19 14:25:00,0.721
2024-11-19 15:30:00,0.603
2024-11-19 17:25:00,0.358
2024-11-19 18:20:00,0.236
2024-11-19 20:10:00,0.292
2024-11-19 23:00:00,1.031
2024-11-20 01:20:00,1.025
2024-11-20 01:50:00,0.963
2024-11-20 04:00:00,0.693
2024-11-20 04:25:00,0.66
2024-11-20 06:30:00,0.434
2024-11-20 09:05:00,0.365
2024-11-20 10:10:00,0.612
2024-11-20 11:30:00,0.907
2024-11-20 14:00:00,0.818
2024-11-20 16:30:00,0.539
2024-11-20 19:00:00,0.217
2024-11-20 20:20:00,0.178
2024-11-20 21:30:00,0.521
2024-11-20 21:35:00,0.544
2024-11-21 02:30:00,0.924
2024-11-21 05:00:00,0.635
2024-11-21 07:30:00,0.365
2024-11-21 07:35:00,0.354
2024-11-21 08:00:00,0.311
2024-11-21 08:05:00,0.304
2024-11-21 08:10:00,0.298
2024-11-21 08:20:00,0.286
2024-11-21 08:25:00,0.281
2024-11-21 08:35:00,0.268
2024-11-21 08:40:00,0.264
2024-11-21 08:50:00,0.259
2024-11-21 08:55:00,0.258
2024-11-21 09:00:00,0.257
2024-11-21 09:10:00,0.259
2024-11-21 09:15:00,0.264
2024-11-21 09:20:00,0.267
2024-11-21 09:25:00,0.272
2024-11-21 09:30:00,0.279
2024-11-21 09:35:00,0.289
2024-11-21 09:40:00,0.3
2024-11-21 09:50:00,0.326
2024-11-21 10:00:00,0.362
2024-11-21 10:05:00,0.38
2024-11-21 10:10:00,0.398
2024-11-21 10:15:00,0.416
2024-11-21 10:20:00,0.433
2024-11-21 10:25:00,0.451
2024-11-21 10:30:00,0.468
2024-11-21 10:40:00,0.505
2024-11-21 10:45:00,0.521
2024-11-21 10:55:00,0.561
2024-11-21 11:00:00,0.588
2024-11-21 11:10:00,0.643
2024-11-21 11:15:00,0.666
2024-11-21 11:20:00,0.687
2024-11-21 11:25:00,0.706
2024-11-21 11:30:00,0.724
2024-11-21 11:35:00,0.737
2024-11-21 11:40:00,0.752
2024-11-21 12:00:00,0.792
2024-11-21 12:05:00,0.804
2024-11-21 12:10:00,0.811
2024-11-21 12:15:00,0.817
2024-11-21 12:20:00,0.825
2024-11-21 12:25:00,0.83
2024-11-21 12:35:00,0.842
