Datetime,observed
2024-09-28 04:10:00,1.61
2024-11-18 18:55:00,1.89
2024-11-18 19:25:00,1.932
2024-11-18 21:55:00,1.299
2024-11-18 22:00:00,1.241
2024-11-19 02:15:00,-1.572
2024-11-19 02:55:00,-1.342
2024-11-19 05:25:00,0.738
2024-11-19 07:55:00,1.624
2024-11-19 08:35:00,1.567
2024-11-19 11:05:00,-0.159
2024-11-19 12:55:00,-1.315
2024-11-19 15:25:00,-0.862
2024-11-19 17:55:00,1.268
2024-11-19 21:05:00,1.81
2024-11-19 22:55:00,0.882
2024-11-20 01:25:00,-1.06
2024-11-20 02:05:00,-1.301
2024-11-20 03:55:00,-0.995
2024-11-20 04:00:00,-0.941
2024-11-20 08:55:00,1.493
2024-11-20 09:20:00,1.415
2024-11-20 11:25:00,0.1
2024-11-20 11:30:00,0.039
2024-11-20 14:35:00,-1.352
2024-11-20 16:25:00,-0.419
2024-11-20 18:55:00,1.341
2024-11-20 21:25:00,1.72
2024-11-20 21:30:00,1.713
2024-11-21 00:30:00,-0.001
2024-11-21 02:25:00,-1.004
2024-11-21 04:55:00,-0.608
2024-11-21 07:25:00,0.901
2024-11-21 07:30:00,0.935
2024-11-21 07:35:00,0.97
2024-11-21 07:55:00,1.092
2024-11-21 08:00:00,1.119
2024-11-21 08:05:00,1.145
2024-11-21 08:10:00,1.17
2024-11-21 08:20:00,1.21
2024-11-21 08:25:00,1.231
2024-11-21 08:30:00,1.248
2024-11-21 08:35:00,1.263
2024-11-21 08:40:00,1.279
2024-11-21 08:45:00,1.293
2024-11-21 09:00:00,1.319
2024-11-21 09:05:00,1.327
2024-11-21 09:15:00,1.332
2024-11-21 09:20:00,1.333
2024-11-21 09:25:00,1.33
2024-11-21 09:30:00,1.328
2024-11-21 09:35:00,1.323
2024-11-21 09:40:00,1.314
2024-11-21 09:45:00,1.302
2024-11-21 09:50:00,1.288
2024-11-21 09:55:00,1.272
2024-11-21 10:00:00,1.251
2024-11-21 10:10:00,1.203
2024-11-21 10:15:00,1.178
2024-11-21 10:30:00,1.079
2024-11-21 10:35:00,1.039
2024-11-21 10:40:00,0.999
2024-11-21 10:45:00,0.955
2024-11-21 10:55:00,0.862
2024-11-21 11:00:00,0.811
2024-11-21 11:05:00,0.759
