Datetime,observed
2024-09-28 02:40:00,-0.131
2024-11-18 18:45:00,-1.189
2024-11-18 19:35:00,0.15
2024-11-18 22:00:00,2.204
2024-11-18 23:55:00,1.998
2024-11-19 01:30:00,0.952
2024-11-19 03:00:00,0.116
2024-11-19 03:30:00,-0.096
2024-11-19 05:30:00,-0.787
2024-11-19 08:00:00,-0.755
2024-11-19 08:55:00,0.312
2024-11-19 10:30:00,1.562
2024-11-19 13:00:00,1.124
2024-11-19 15:30:00,-0.105
2024-11-19 16:40:00,-0.502
2024-11-19 20:30:00,0.244
2024-11-19 22:30:00,1.946
2024-11-19 23:00:00,2.087
2024-11-20 06:30:00,-0.802
2024-11-20 09:00:00,-0.274
2024-11-20 11:30:00,1.529
2024-11-20 11:35:00,1.549
2024-11-20 14:05:00,0.937
2024-11-20 16:30:00,-0.146
2024-11-20 17:30:00,-0.448
2024-11-20 19:05:00,-0.855
2024-11-20 22:20:00,1.222
2024-11-21 00:00:00,1.948
2024-11-21 02:30:00,1.175
2024-11-21 05:00:00,-0.024
2024-11-21 05:55:00,-0.329
2024-11-21 07:25:00,-0.756
2024-11-21 07:30:00,-0.778
2024-11-21 07:35:00,-0.796
2024-11-21 07:40:00,-0.805
2024-11-21 07:45:00,-0.825
2024-11-21 07:55:00,-0.859
2024-11-21 08:00:00,-0.879
2024-11-21 08:05:00,-0.887
2024-11-21 08:15:00,-0.91
2024-11-21 08:20:00,-0.929
2024-11-21 08:25:00,-0.936
2024-11-21 08:30:00,-0.944
2024-11-21 08:35:00,-0.962
2024-11-21 08:45:00,-0.959
2024-11-21 08:50:00,-0.956
2024-11-21 09:00:00,-0.947
2024-11-21 09:05:00,-0.94
2024-11-21 09:55:00,-0.28
2024-11-21 12:25:00,1.28
2024-11-21 13:55:00,1.296
2024-11-21 14:50:00,0.944
2024-11-21 15:00:00,0.867
2024-11-21 17:25:00,-0.093
2024-11-21 18:15:00,-0.322
2024-11-21 19:05:00,-0.543
2024-11-21 19:10:00,-0.568
2024-11-21 19:15:00,-0.582
2024-11-21 19:20:00,-0.599
2024-11-21 19:25:00,-0.618
2024-11-21 19:30:00,-0.633
2024-11-21 19:55:00,-0.707
2024-11-21 20:00:00,-0.71
2024-11-21 20:05:00,-0.711
2024-11-21 20:15:00,-0.72
2024-11-21 21:50:00,-0.021
2024-11-21 21:55:00,0.035
2024-11-21 22:00:00,0.1
2024-11-21 22:05:00,0.157
2024-11-21 23:05:00,0.96
2024-11-21 23:15:00,1.048
2024-11-21 23:25:00,1.131
2024-11-21 23:35:00,1.219
2024-11-21 23:40:00,1.266
2024-11-21 23:45:00,1.306
2024-11-21 23:55:00,1.394
2024-11-22 01:40:00,1.725
2024-11-22 02:25:00,1.492
2024-11-22 03:30:00,0.948
2024-11-22 03:35:00,0.909
2024-11-22 03:40:00,0.864
2024-11-22 03:45:00,0.826
2024-11-22 03:50:00,0.79
2024-11-22 03:55:00,0.739
2024-11-22 04:00:00,0.703
2024-11-22 04:05:00,0.663
2024-11-22 04:10:00,0.629
2024-11-22 04:15:00,0.591
2024-11-22 04:20:00,0.562
2024-11-22 04:25:00,0.522
2024-11-22 04:30:00,0.486
2024-11-22 04:35:00,0.453
2024-11-22 04:40:00,0.416
2024-11-22 04:45:00,0.377
2024-11-22 04:50:00,0.343
2024-11-22 04:55:00,0.313
2024-11-22 05:00:00,0.28
2024-11-22 05:05:00,0.243
2024-11-22 05:10:00,0.211
2024-11-22 05:15:00,0.175
2024-11-22 05:25:00,0.112
2024-11-22 05:35:00,0.05
2024-11-22 05:40:00,0.025
2024-11-22 05:45:00,-0.002
2024-11-22 05:50:00,-0.023
2024-11-22 05:55:00,-0.055
2024-11-22 06:00:00,-0.078
2024-11-22 06:05:00,-0.104
2024-11-22 06:10:00,-0.137
2024-11-22 06:15:00,-0.161
2024-11-22 06:20:00,-0.182
2024-11-22 06:25:00,-0.212
2024-11-22 06:30:00,-0.232
2024-11-22 06:35:00,-0.264
2024-11-22 06:40:00,-0.288
2024-11-22 06:45:00,-0.303
2024-11-22 06:50:00,-0.333
2024-11-22 06:55:00,-0.365
2024-11-22 07:00:00,-0.388
2024-11-22 07:05:00,-0.405
2024-11-22 07:10:00,-0.426
2024-11-22 07:15:00,-0.464
2024-11-22 07:20:00,-0.481
2024-11-22 07:25:00,-0.511
2024-11-22 07:35:00,-0.549
2024-11-22 07:40:00,-0.579
2024-11-22 07:45:00,-0.603
2024-11-22 07:55:00,-0.636
2024-11-22 08:00:00,-0.659
2024-11-22 08:05:00,-0.676
2024-11-22 08:10:00,-0.689
2024-11-22 08:15:00,-0.702
2024-11-22 08:25:00,-0.759
2024-11-22 08:40:00,-0.805
2024-11-22 08:50:00,-0.834
2024-11-22 09:10:00,-0.879
2024-11-22 09:15:00,-0.88
2024-11-22 09:25:00,-0.898
2024-11-22 09:30:00,-0.902
2024-11-22 09:35:00,-0.906
2024-11-22 09:40:00,-0.916
2024-11-22 09:45:00,-0.905
2024-11-22 09:50:00,-0.9
2024-11-22 09:55:00,-0.888
2024-11-22 10:05:00,-0.845
2024-11-22 10:10:00,-0.814
2024-11-22 10:25:00,-0.66
2024-11-22 10:30:00,-0.599
2024-11-22 10:35:00,-0.54
2024-11-22 10:40:00,-0.475
2024-11-22 10:45:00,-0.411
2024-11-22 10:50:00,-0.356
2024-11-22 11:05:00,-0.175
2024-11-22 11:15:00,-0.056
2024-11-22 11:25:00,0.052
2024-11-22 13:55:00,1.249
2024-11-22 16:00:00,0.859
2024-11-22 16:25:00,0.683
2024-11-22 18:20:00,0.031
2024-11-22 18:25:00,0.01
2024-11-22 18:30:00,-0.019
2024-11-22 18:50:00,-0.104
2024-11-22 19:55:00,-0.347
2024-11-22 20:05:00,-0.381
2024-11-22 20:10:00,-0.396
2024-11-22 20:15:00,-0.409
2024-11-22 20:20:00,-0.428
2024-11-22 20:25:00,-0.442
2024-11-22 20:30:00,-0.458
2024-11-22 20:35:00,-0.471
2024-11-22 20:40:00,-0.48
2024-11-22 20:45:00,-0.49
2024-11-22 20:50:00,-0.509
2024-11-22 21:00:00,-0.521
2024-11-22 21:05:00,-0.536
2024-11-22 21:10:00,-0.537
2024-11-22 21:15:00,-0.546
2024-11-22 21:25:00,-0.554
2024-11-22 21:30:00,-0.549
2024-11-22 21:35:00,-0.547
2024-11-22 21:40:00,-0.548
2024-11-22 21:45:00,-0.534
2024-11-22 21:50:00,-0.522
2024-11-22 21:55:00,-0.518
2024-11-22 22:00:00,-0.479
2024-11-22 22:05:00,-0.45
2024-11-22 22:10:00,-0.429
2024-11-22 22:15:00,-0.385
2024-11-22 22:20:00,-0.343
2024-11-22 22:25:00,-0.293
2024-11-22 22:30:00,-0.255
2024-11-22 22:35:00,-0.201
2024-11-22 22:40:00,-0.159
2024-11-22 22:45:00,-0.115
2024-11-22 22:50:00,-0.062
2024-11-22 22:55:00,-0.032
2024-11-22 23:00:00,0.01
2024-11-22 23:05:00,0.057
2024-11-22 23:10:00,0.104
2024-11-22 23:15:00,0.152
2024-11-22 23:20:00,0.197
2024-11-22 23:25:00,0.257
2024-11-23 01:05:00,1.137
2024-11-23 01:10:00,1.167
2024-11-23 01:15:00,1.199
2024-11-23 01:20:00,1.23
2024-11-23 01:25:00,1.254
2024-11-23 01:40:00,1.333
