Datetime,observed
2024-09-28 04:05:00,1.875
2024-11-18 18:35:00,0.994
2024-11-18 19:25:00,0.883
2024-11-18 21:55:00,0.711
2024-11-19 00:25:00,1.861
2024-11-19 02:55:00,1.772
2024-11-19 05:25:00,1.298
2024-11-19 07:55:00,0.968
2024-11-19 10:50:00,0.726
2024-11-19 12:55:00,1.568
2024-11-19 15:25:00,1.439
2024-11-19 17:55:00,1.091
2024-11-19 18:45:00,0.993
2024-11-19 20:25:00,0.797
2024-11-20 01:25:00,1.756
2024-11-20 03:55:00,1.615
2024-11-20 06:25:00,1.205
2024-11-20 08:55:00,0.897
2024-11-20 11:20:00,0.682
2024-11-20 14:35:00,1.543
2024-11-20 16:25:00,1.324
2024-11-20 18:55:00,1.022
2024-11-20 19:45:00,0.933
2024-11-20 21:25:00,0.753
2024-11-20 23:55:00,0.807
2024-11-21 01:20:00,1.482
2024-11-21 02:25:00,1.656
2024-11-21 07:00:00,1.164
2024-11-21 07:05:00,1.141
2024-11-21 07:10:00,1.142
2024-11-21 07:15:00,1.126
2024-11-21 07:25:00,1.116
2024-11-21 07:30:00,1.106
2024-11-21 07:35:00,1.098
2024-11-21 07:40:00,1.095
2024-11-21 07:45:00,1.08
2024-11-21 07:55:00,1.066
2024-11-21 08:00:00,1.059
2024-11-21 08:05:00,1.048
2024-11-21 08:10:00,1.034
2024-11-21 08:15:00,1.033
2024-11-21 08:25:00,1.009
2024-11-21 08:30:00,1.003
2024-11-21 08:35:00,0.98
2024-11-21 08:40:00,0.979
2024-11-21 08:45:00,0.974
2024-11-21 08:55:00,0.957
2024-11-21 09:00:00,0.941
2024-11-21 09:05:00,0.934
2024-11-21 09:10:00,0.925
2024-11-21 09:15:00,0.903
2024-11-21 09:25:00,0.889
2024-11-21 09:30:00,0.89
2024-11-21 09:35:00,0.873
2024-11-21 09:40:00,0.868
2024-11-21 09:45:00,0.849
2024-11-21 09:55:00,0.838
2024-11-21 10:00:00,0.829
2024-11-21 10:05:00,0.816
2024-11-21 10:10:00,0.807
2024-11-21 10:15:00,0.802
2024-11-21 10:25:00,0.778
2024-11-21 10:30:00,0.774
2024-11-21 10:35:00,0.763
2024-11-21 10:40:00,0.744
2024-11-21 10:45:00,0.746
2024-11-21 10:55:00,0.731
2024-11-21 11:00:00,0.724
2024-11-21 11:05:00,0.716
2024-11-21 11:10:00,0.708
2024-11-21 11:15:00,0.697
2024-11-21 11:25:00,0.685
2024-11-21 11:30:00,0.681
2024-11-21 11:35:00,0.675
2024-11-21 11:40:00,0.67
2024-11-21 11:45:00,0.67
2024-11-21 11:55:00,0.664
2024-11-21 12:00:00,0.661
2024-11-21 12:05:00,0.665
2024-11-21 12:10:00,0.668
2024-11-21 12:15:00,0.672
2024-11-21 12:25:00,0.683
2024-11-21 12:30:00,0.689
2024-11-21 12:35:00,0.699
2024-11-21 12:40:00,0.707
2024-11-21 12:45:00,0.719
2024-11-21 12:55:00,0.745
2024-11-21 13:00:00,0.762
2024-11-21 13:05:00,0.779
2024-11-21 13:10:00,0.8
2024-11-21 13:15:00,0.821
2024-11-21 13:25:00,0.873
2024-11-21 13:30:00,0.903
2024-11-21 13:35:00,0.932
2024-11-21 13:40:00,0.971
2024-11-21 13:45:00,1.003
2024-11-21 14:00:00,1.117
2024-11-21 14:05:00,1.146
2024-11-21 14:10:00,1.177
2024-11-21 14:15:00,1.209
2024-11-21 14:25:00,1.256
2024-11-21 14:30:00,1.278
2024-11-21 14:35:00,1.297
2024-11-21 14:40:00,1.313
2024-11-21 14:45:00,1.327
2024-11-21 14:55:00,1.354
2024-11-21 15:00:00,1.365
2024-11-21 15:05:00,1.376
2024-11-21 15:10:00,1.385
2024-11-21 15:15:00,1.393
2024-11-21 15:25:00,1.401
2024-11-21 15:30:00,1.404
2024-11-21 15:35:00,1.406
2024-11-21 15:40:00,1.408
2024-11-21 15:45:00,1.407
2024-11-21 16:00:00,1.4
2024-11-21 16:05:00,1.399
2024-11-21 16:10:00,1.395
2024-11-21 16:15:00,1.389
2024-11-21 16:25:00,1.371
2024-11-21 16:30:00,1.36
2024-11-21 16:35:00,1.348
2024-11-21 16:40:00,1.332
2024-11-21 16:45:00,1.321
2024-11-21 16:55:00,1.297
2024-11-21 17:00:00,1.282
2024-11-21 17:05:00,1.268
2024-11-21 17:10:00,1.253
2024-11-21 17:15:00,1.237
2024-11-21 17:25:00,1.211
2024-11-21 17:30:00,1.195
2024-11-21 17:35:00,1.181
2024-11-21 17:40:00,1.169
2024-11-21 17:45:00,1.156
2024-11-21 17:55:00,1.133
2024-11-21 18:00:00,1.121
2024-11-21 18:05:00,1.111
2024-11-21 18:10:00,1.099
2024-11-21 18:15:00,1.092
2024-11-21 18:25:00,1.074
2024-11-21 18:30:00,1.064
2024-11-21 18:35:00,1.055
2024-11-21 18:40:00,1.048
2024-11-21 18:45:00,1.042
2024-11-21 18:55:00,1.026
2024-11-21 19:00:00,1.019
2024-11-21 19:05:00,1.013
2024-11-21 19:10:00,1.005
2024-11-21 19:15:00,0.997
2024-11-21 19:25:00,0.984
2024-11-21 19:30:00,0.979
2024-11-21 19:35:00,0.971
2024-11-21 19:40:00,0.961
2024-11-21 19:45:00,0.956
2024-11-21 19:50:00,0.949
2024-11-21 19:55:00,0.94
2024-11-21 20:00:00,0.934
2024-11-21 20:05:00,0.926
2024-11-21 20:10:00,0.921
2024-11-21 20:15:00,0.911
2024-11-21 20:20:00,0.904
2024-11-21 20:25:00,0.897
2024-11-21 20:30:00,0.887
2024-11-21 20:35:00,0.878
2024-11-21 20:40:00,0.87
2024-11-21 20:50:00,0.856
2024-11-21 20:55:00,0.846
2024-11-21 21:00:00,0.838
2024-11-21 21:05:00,0.829
2024-11-21 21:10:00,0.822
2024-11-21 21:15:00,0.813
2024-11-21 21:25:00,0.798
2024-11-21 21:30:00,0.792
2024-11-21 21:35:00,0.785
2024-11-21 21:40:00,0.778
2024-11-21 21:45:00,0.768
2024-11-21 22:00:00,0.745
2024-11-21 22:05:00,0.736
2024-11-21 22:10:00,0.732
2024-11-21 22:15:00,0.725
2024-11-21 22:25:00,0.71
2024-11-21 22:30:00,0.705
2024-11-21 22:35:00,0.697
2024-11-21 22:40:00,0.694
2024-11-21 22:45:00,0.691
2024-11-21 22:55:00,0.68
2024-11-21 23:00:00,0.676
2024-11-21 23:05:00,0.67
2024-11-21 23:10:00,0.669
2024-11-21 23:15:00,0.668
2024-11-21 23:25:00,0.664
2024-11-21 23:30:00,0.669
2024-11-21 23:35:00,0.669
2024-11-21 23:40:00,0.669
2024-11-21 23:45:00,0.672
2024-11-22 00:00:00,0.678
2024-11-22 00:05:00,0.686
2024-11-22 00:10:00,0.692
2024-11-22 00:15:00,0.697
2024-11-22 00:25:00,0.722
2024-11-22 00:30:00,0.734
2024-11-22 00:35:00,0.747
2024-11-22 00:40:00,0.764
2024-11-22 00:45:00,0.779
2024-11-22 00:55:00,0.823
2024-11-22 01:00:00,0.85
2024-11-22 01:05:00,0.876
2024-11-22 01:10:00,0.907
2024-11-22 01:15:00,0.943
2024-11-22 01:25:00,1.02
2024-11-22 01:30:00,1.059
2024-11-22 01:35:00,1.1
2024-11-22 01:40:00,1.139
2024-11-22 01:45:00,1.172
2024-11-22 02:00:00,1.262
2024-11-22 02:05:00,1.29
2024-11-22 02:10:00,1.316
2024-11-22 02:15:00,1.341
2024-11-22 02:20:00,1.362
2024-11-22 02:25:00,1.383
2024-11-22 02:30:00,1.4
2024-11-22 02:35:00,1.417
2024-11-22 02:40:00,1.432
2024-11-22 02:45:00,1.449
2024-11-22 02:55:00,1.471
2024-11-22 03:00:00,1.483
2024-11-22 03:05:00,1.492
2024-11-22 03:10:00,1.499
2024-11-22 03:15:00,1.508
