Datetime,observed
2024-09-28 02:15:00,0.765
2024-11-18 19:30:00,1.518
2024-11-18 21:15:00,2.478
2024-11-18 22:00:00,2.147
2024-11-19 00:30:00,0.235
2024-11-19 03:00:00,-1.055
2024-11-19 05:35:00,-0.72
2024-11-19 08:00:00,0.948
2024-11-19 08:50:00,1.308
2024-11-19 10:30:00,1.546
2024-11-19 13:45:00,-0.571
2024-11-19 15:30:00,-0.998
2024-11-19 18:00:00,-0.064
2024-11-19 22:15:00,2.233
2024-11-19 23:00:00,1.931
2024-11-20 01:30:00,0.119
2024-11-20 04:00:00,-1.056
2024-11-20 04:45:00,-1.03
2024-11-20 06:30:00,-0.517
2024-11-20 09:00:00,0.974
2024-11-20 10:05:00,1.598
2024-11-20 11:30:00,1.405
2024-11-20 14:00:00,-0.095
2024-11-20 16:30:00,-1.027
2024-11-20 19:00:00,0.106
2024-11-20 21:30:00,1.595
2024-11-20 22:20:00,2.076
2024-11-21 00:00:00,1.677
2024-11-21 04:10:00,-0.827
2024-11-21 05:00:00,-1.004
2024-11-21 07:10:00,-0.612
2024-11-21 07:15:00,-0.568
2024-11-21 07:20:00,-0.514
2024-11-21 07:25:00,-0.459
2024-11-21 07:30:00,-0.4
2024-11-21 07:35:00,-0.352
2024-11-21 07:40:00,-0.289
2024-11-21 07:45:00,-0.239
2024-11-21 07:55:00,-0.136
2024-11-21 08:00:00,-0.074
2024-11-21 08:05:00,-0.045
2024-11-21 08:10:00,0.01
2024-11-21 08:15:00,0.041
2024-11-21 08:20:00,0.093
2024-11-21 08:25:00,0.135
2024-11-21 08:30:00,0.184
2024-11-21 08:35:00,0.227
2024-11-21 08:40:00,0.257
2024-11-21 08:45:00,0.307
2024-11-21 08:50:00,0.351
2024-11-21 08:55:00,0.39
2024-11-21 09:00:00,0.41
2024-11-21 09:05:00,0.422
2024-11-21 09:15:00,0.543
2024-11-21 09:20:00,0.567
2024-11-21 09:25:00,0.601
2024-11-21 09:30:00,0.644
2024-11-21 09:35:00,0.675
2024-11-21 09:40:00,0.711
2024-11-21 09:45:00,0.753
2024-11-21 09:50:00,0.795
2024-11-21 09:55:00,0.832
2024-11-21 10:00:00,0.855
2024-11-21 10:05:00,0.906
2024-11-21 10:10:00,0.942
2024-11-21 10:15:00,0.988
2024-11-21 10:20:00,1.023
2024-11-21 10:25:00,1.062
2024-11-21 10:30:00,1.097
2024-11-21 10:35:00,1.152
2024-11-21 10:40:00,1.192
2024-11-21 10:45:00,1.262
2024-11-21 10:50:00,1.307
2024-11-21 10:55:00,1.332
2024-11-21 11:00:00,1.37
2024-11-21 11:05:00,1.406
2024-11-21 11:10:00,1.423
2024-11-21 11:15:00,1.453
2024-11-21 11:20:00,1.434
2024-11-21 11:25:00,1.456
2024-11-21 11:30:00,1.466
2024-11-21 11:35:00,1.457
2024-11-21 11:40:00,1.435
2024-11-21 11:45:00,1.413
2024-11-21 11:50:00,1.426
2024-11-21 11:55:00,1.396
2024-11-21 12:00:00,1.382
2024-11-21 12:05:00,1.366
2024-11-21 12:10:00,1.344
2024-11-21 12:15:00,1.314
2024-11-21 12:20:00,1.276
2024-11-21 12:25:00,1.263
2024-11-21 12:30:00,1.237
2024-11-21 12:35:00,1.215
2024-11-21 12:40:00,1.193
2024-11-21 12:45:00,1.154
2024-11-21 12:50:00,1.109
2024-11-21 12:55:00,1.075
2024-11-21 13:00:00,1.041
2024-11-21 13:05:00,1.0
2024-11-21 13:15:00,0.881
2024-11-21 13:20:00,0.85
2024-11-21 13:25:00,0.809
2024-11-21 13:30:00,0.774
2024-11-21 13:35:00,0.742
2024-11-21 13:40:00,0.692
2024-11-21 13:50:00,0.608
2024-11-21 13:55:00,0.554
2024-11-21 14:00:00,0.511
2024-11-21 14:05:00,0.47
2024-11-21 14:10:00,0.419
2024-11-21 14:15:00,0.371
2024-11-21 14:20:00,0.318
2024-11-21 14:25:00,0.278
2024-11-21 14:30:00,0.226
2024-11-21 14:35:00,0.18
2024-11-21 14:40:00,0.136
2024-11-21 14:45:00,0.094
2024-11-21 14:50:00,0.044
2024-11-21 14:55:00,0.013
2024-11-21 15:00:00,-0.029
2024-11-21 15:05:00,-0.061
2024-11-21 15:10:00,-0.107
2024-11-21 15:15:00,-0.141
2024-11-21 15:20:00,-0.179
2024-11-21 15:25:00,-0.215
2024-11-21 15:30:00,-0.256
2024-11-21 15:35:00,-0.298
2024-11-21 15:40:00,-0.333
2024-11-21 15:45:00,-0.365
2024-11-21 15:55:00,-0.445
2024-11-21 16:00:00,-0.473
2024-11-21 16:05:00,-0.514
2024-11-21 16:15:00,-0.576
2024-11-21 16:20:00,-0.609
2024-11-21 16:30:00,-0.678
2024-11-21 16:40:00,-0.73
2024-11-21 16:45:00,-0.758
2024-11-21 16:50:00,-0.776
2024-11-21 16:55:00,-0.789
2024-11-21 17:00:00,-0.804
2024-11-21 17:05:00,-0.814
2024-11-21 17:10:00,-0.834
2024-11-21 17:15:00,-0.849
2024-11-21 17:20:00,-0.854
2024-11-21 17:25:00,-0.857
2024-11-21 17:30:00,-0.854
2024-11-21 17:40:00,-0.829
2024-11-21 17:45:00,-0.814
2024-11-21 17:50:00,-0.8
2024-11-21 17:55:00,-0.787
2024-11-21 18:00:00,-0.767
2024-11-21 18:10:00,-0.691
2024-11-21 18:15:00,-0.666
2024-11-21 18:20:00,-0.64
2024-11-21 18:25:00,-0.613
2024-11-21 18:30:00,-0.576
2024-11-21 18:35:00,-0.536
2024-11-21 18:45:00,-0.459
2024-11-21 18:50:00,-0.422
2024-11-21 18:55:00,-0.376
2024-11-21 19:00:00,-0.337
2024-11-21 19:05:00,-0.295
2024-11-21 19:10:00,-0.252
2024-11-21 19:15:00,-0.205
2024-11-21 19:20:00,-0.167
2024-11-21 19:25:00,-0.122
2024-11-21 19:30:00,-0.085
2024-11-21 19:35:00,-0.046
2024-11-21 19:40:00,0.002
2024-11-21 19:45:00,0.054
2024-11-21 19:50:00,0.1
2024-11-21 19:55:00,0.146
2024-11-21 20:00:00,0.195
2024-11-21 20:05:00,0.237
2024-11-21 20:15:00,0.334
2024-11-21 20:20:00,0.377
2024-11-21 20:25:00,0.418
2024-11-21 20:30:00,0.469
2024-11-21 20:35:00,0.521
2024-11-21 20:40:00,0.553
2024-11-21 20:45:00,0.593
2024-11-21 20:50:00,0.634
2024-11-21 21:00:00,0.737
2024-11-21 21:05:00,0.777
2024-11-21 21:10:00,0.821
2024-11-21 21:15:00,0.859
2024-11-21 21:20:00,0.904
2024-11-21 21:25:00,0.953
2024-11-21 21:30:00,0.981
2024-11-21 21:35:00,1.024
2024-11-21 21:40:00,1.076
2024-11-21 21:45:00,1.111
2024-11-21 21:50:00,1.149
2024-11-21 21:55:00,1.202
2024-11-21 22:00:00,1.231
2024-11-21 22:05:00,1.279
2024-11-21 22:10:00,1.329
2024-11-21 22:15:00,1.382
2024-11-21 22:20:00,1.431
2024-11-21 22:25:00,1.494
2024-11-21 22:30:00,1.526
2024-11-21 22:35:00,1.568
2024-11-21 22:40:00,1.612
2024-11-21 22:45:00,1.652
2024-11-21 22:50:00,1.679
2024-11-21 22:55:00,1.701
2024-11-21 23:00:00,1.723
2024-11-21 23:05:00,1.756
2024-11-21 23:10:00,1.777
2024-11-21 23:15:00,1.783
2024-11-21 23:20:00,1.805
2024-11-21 23:25:00,1.805
2024-11-21 23:30:00,1.802
2024-11-21 23:35:00,1.791
2024-11-21 23:40:00,1.801
2024-11-21 23:45:00,1.78
2024-11-21 23:50:00,1.776
2024-11-21 23:55:00,1.757
2024-11-22 00:00:00,1.768
2024-11-22 00:05:00,1.751
2024-11-22 00:10:00,1.738
2024-11-22 00:15:00,1.695
2024-11-22 00:20:00,1.682
2024-11-22 00:25:00,1.66
2024-11-22 00:30:00,1.62
2024-11-22 00:35:00,1.608
2024-11-22 00:40:00,1.544
2024-11-22 00:45:00,1.523
2024-11-22 00:50:00,1.488
2024-11-22 00:55:00,1.442
2024-11-22 01:00:00,1.408
2024-11-22 01:05:00,1.369
2024-11-22 01:10:00,1.325
2024-11-22 01:15:00,1.272
2024-11-22 01:20:00,1.237
2024-11-22 01:25:00,1.19
2024-11-22 01:30:00,1.145
2024-11-22 01:35:00,1.112
2024-11-22 01:40:00,1.052
2024-11-22 01:45:00,1.013
2024-11-22 01:50:00,0.968
2024-11-22 01:55:00,0.925
2024-11-22 02:05:00,0.825
2024-11-22 02:10:00,0.766
2024-11-22 02:15:00,0.716
2024-11-22 02:20:00,0.679
2024-11-22 02:25:00,0.625
2024-11-22 02:30:00,0.57
2024-11-22 02:35:00,0.525
2024-11-22 02:40:00,0.473
2024-11-22 02:45:00,0.421
2024-11-22 02:50:00,0.372
2024-11-22 02:55:00,0.341
2024-11-22 03:00:00,0.286
2024-11-22 03:05:00,0.236
2024-11-22 03:10:00,0.196
2024-11-22 03:15:00,0.146
2024-11-22 03:20:00,0.103
2024-11-22 03:25:00,0.038
2024-11-22 03:30:00,0.003
2024-11-22 03:35:00,-0.039
2024-11-22 03:40:00,-0.079
2024-11-22 03:45:00,-0.119
2024-11-22 03:50:00,-0.159
2024-11-22 03:55:00,-0.206
2024-11-22 04:00:00,-0.242
2024-11-22 04:05:00,-0.278
2024-11-22 04:10:00,-0.324
2024-11-22 04:15:00,-0.379
2024-11-22 04:20:00,-0.417
2024-11-22 04:25:00,-0.453
2024-11-22 04:30:00,-0.516
2024-11-22 04:35:00,-0.54
2024-11-22 04:40:00,-0.587
2024-11-22 04:45:00,-0.626
2024-11-22 04:50:00,-0.67
2024-11-22 04:55:00,-0.707
2024-11-22 05:00:00,-0.74
2024-11-22 05:05:00,-0.768
2024-11-22 05:10:00,-0.811
2024-11-22 05:15:00,-0.847
2024-11-22 05:20:00,-0.872
2024-11-22 05:25:00,-0.901
2024-11-22 05:30:00,-0.935
2024-11-22 05:35:00,-0.966
2024-11-22 05:40:00,-0.994
2024-11-22 05:45:00,-1.014
2024-11-22 05:50:00,-1.028
2024-11-22 05:55:00,-1.056
2024-11-22 06:00:00,-1.072
2024-11-22 06:05:00,-1.105
2024-11-22 06:10:00,-1.1
2024-11-22 06:15:00,-1.08
2024-11-22 06:20:00,-1.065
2024-11-22 06:25:00,-1.067
2024-11-22 06:30:00,-1.061
2024-11-22 06:35:00,-1.054
2024-11-22 06:40:00,-1.07
