Datetime,level
2024-09-28 04:10:00,4.631
2024-11-25 05:55:00,2.687
2024-11-25 06:00:00,2.687
2024-11-25 06:05:00,2.681
2024-11-25 06:10:00,2.682
2024-11-25 06:15:00,2.688
2024-11-25 06:25:00,2.686
2024-11-25 06:30:00,2.682
2024-11-25 06:35:00,2.683
2024-11-25 06:45:00,2.687
2024-11-25 06:50:00,2.684
2024-11-25 06:55:00,2.688
2024-11-25 07:00:00,2.686
2024-11-25 07:05:00,2.687
2024-11-25 07:15:00,2.679
2024-11-25 07:25:00,2.681
2024-11-25 07:30:00,2.683
2024-11-25 07:35:00,2.689
2024-11-25 07:40:00,2.683
2024-11-25 07:50:00,2.683
2024-11-25 07:55:00,2.682
2024-11-25 08:05:00,2.679
2024-11-25 08:10:00,2.679
2024-11-25 08:20:00,2.679
2024-11-25 08:50:00,2.666
2024-11-25 08:55:00,2.674
2024-11-25 09:00:00,2.672
