Datetime,level
2024-09-28 04:10:00,4.587
2024-11-18 19:25:00,2.476
2024-11-18 19:40:00,2.476
2024-11-18 21:55:00,2.496
2024-11-18 23:25:00,2.49
2024-11-19 00:25:00,2.475
2024-11-19 02:55:00,2.466
2024-11-19 04:10:00,2.444
2024-11-19 05:25:00,2.427
2024-11-19 07:30:00,2.42
2024-11-19 08:10:00,2.43
2024-11-19 10:25:00,2.456
2024-11-19 11:40:00,2.464
2024-11-19 12:55:00,2.458
2024-11-19 15:05:00,2.444
2024-11-19 15:40:00,2.438
2024-11-19 17:55:00,2.405
2024-11-19 20:05:00,2.377
2024-11-19 20:40:00,2.376
2024-11-19 22:55:00,2.384
2024-11-19 23:10:00,2.383
2024-11-20 01:25:00,2.369
2024-11-20 02:40:00,2.355
2024-11-20 04:10:00,2.334
2024-11-20 06:25:00,2.303
2024-11-20 07:40:00,2.291
2024-11-20 08:55:00,2.298
2024-11-20 11:05:00,2.329
2024-11-20 11:40:00,2.335
2024-11-20 13:55:00,2.328
2024-11-20 15:10:00,2.317
2024-11-20 16:25:00,2.306
2024-11-20 18:55:00,2.279
2024-11-20 20:05:00,2.265
2024-11-20 21:25:00,2.256
2024-11-20 22:40:00,2.263
2024-11-20 23:55:00,2.27
2024-11-21 02:25:00,2.252
2024-11-21 03:40:00,2.244
2024-11-21 04:55:00,2.227
2024-11-21 07:00:00,2.201
2024-11-21 07:05:00,2.202
2024-11-21 07:10:00,2.198
2024-11-21 07:15:00,2.197
2024-11-21 07:20:00,2.191
2024-11-21 07:25:00,2.194
2024-11-21 07:30:00,2.19
2024-11-21 07:35:00,2.195
2024-11-21 07:40:00,2.19
2024-11-21 07:45:00,2.189
2024-11-21 07:50:00,2.185
2024-11-21 07:55:00,2.189
2024-11-21 08:00:00,2.184
2024-11-21 08:05:00,2.184
2024-11-21 08:10:00,2.178
2024-11-21 08:15:00,2.18
2024-11-21 08:20:00,2.184
2024-11-21 08:25:00,2.182
2024-11-21 08:30:00,2.176
2024-11-21 08:35:00,2.179
2024-11-21 08:40:00,2.186
2024-11-21 08:45:00,2.182
2024-11-21 08:50:00,2.183
2024-11-21 08:55:00,2.183
2024-11-21 09:00:00,2.185
2024-11-21 09:05:00,2.181
2024-11-21 09:10:00,2.183
2024-11-21 09:15:00,2.185
2024-11-21 09:20:00,2.187
2024-11-21 09:25:00,2.188
2024-11-21 09:30:00,2.189
2024-11-21 09:35:00,2.19
2024-11-21 09:40:00,2.187
2024-11-21 09:45:00,2.189
2024-11-21 09:50:00,2.192
2024-11-21 09:55:00,2.193
2024-11-21 10:00:00,2.193
2024-11-21 10:05:00,2.194
2024-11-21 10:10:00,2.201
2024-11-21 10:15:00,2.199
2024-11-21 10:20:00,2.202
2024-11-21 10:25:00,2.204
2024-11-21 10:30:00,2.205
2024-11-21 10:35:00,2.206
2024-11-21 10:40:00,2.207
2024-11-21 10:45:00,2.21
