Datetime,level
2024-10-09 09:55:00,6.953
2024-10-09 10:00:00,6.954
2024-10-09 10:25:00,6.959
2024-10-09 10:30:00,6.959
2024-10-09 10:35:00,6.958
2024-10-09 10:40:00,6.956
2024-10-09 10:45:00,6.96
2024-10-09 11:25:00,6.956
2024-10-09 11:35:00,6.959
2024-10-09 11:50:00,6.96
2024-10-09 12:15:00,6.956
2024-10-09 12:35:00,6.96
2024-10-09 12:55:00,6.955
2024-10-09 14:30:00,6.956
2024-10-09 14:40:00,6.953
2024-10-09 14:45:00,6.953
2024-10-09 14:55:00,6.95
2024-10-09 15:00:00,6.954
2024-10-09 15:05:00,6.955
2024-10-09 15:20:00,6.953
2024-10-09 15:25:00,6.954
2024-10-09 15:30:00,6.951
2024-10-09 15:35:00,6.952
2024-10-09 15:55:00,6.951
2024-10-09 16:15:00,6.95
2024-10-09 16:20:00,6.95
2024-10-09 16:25:00,6.948
2024-10-09 16:35:00,6.946
2024-10-09 16:40:00,6.94
2024-10-09 17:05:00,6.936
2024-10-09 17:10:00,6.94
2024-10-09 17:15:00,6.939
2024-10-09 17:20:00,6.938
2024-10-09 17:25:00,6.938
2024-10-09 17:30:00,6.936
2024-10-09 17:40:00,6.935
2024-10-09 17:55:00,6.936
2024-10-09 18:00:00,6.934
2024-10-09 18:10:00,6.935
2024-10-09 18:20:00,6.934
2024-10-09 18:25:00,6.932
2024-10-09 18:35:00,6.931
2024-10-09 18:40:00,6.929
2024-10-09 18:50:00,6.929
2024-10-09 19:05:00,6.926
2024-10-09 19:15:00,6.926
2024-10-09 19:20:00,6.927
2024-10-09 19:30:00,6.925
2024-10-09 19:45:00,6.928
2024-10-09 19:55:00,6.925
2024-10-09 20:00:00,6.926
2024-10-09 20:10:00,6.927
2024-10-09 20:15:00,6.929
2024-10-09 20:20:00,6.929
2024-10-09 20:25:00,6.927
2024-10-09 20:30:00,6.928
2024-10-09 20:50:00,6.925
2024-10-09 20:55:00,6.93
2024-10-09 21:05:00,6.933
2024-10-09 21:10:00,6.933
2024-10-09 21:15:00,6.929
2024-10-09 21:20:00,6.928
2024-10-09 21:30:00,6.929
2024-10-09 21:35:00,6.93
2024-10-09 21:45:00,6.93
2024-10-09 21:50:00,6.931
2024-10-09 21:55:00,6.932
2024-10-09 22:00:00,6.931
2024-10-09 22:05:00,6.931
2024-10-09 22:10:00,6.933
2024-10-09 22:15:00,6.928
2024-10-09 22:20:00,6.929
2024-10-09 22:25:00,6.93
2024-10-09 22:30:00,6.931
2024-10-09 22:35:00,6.932
2024-10-09 22:55:00,6.933
